file_name	cases	project
BLAIN_p_TCGA_282_304_b2_N_GenomeWideSNP_6_E10_1348504.nocnv_grch38.seg.v2.txt	TCGA-OR-A5JX-01A-11D-A29H-01	TCGA-ACC
BLAIN_p_TCGA_282_304_b2_N_GenomeWideSNP_6_D09_1348564.nocnv_grch38.seg.v2.txt	TCGA-OR-A5JM-01A-11D-A29H-01	TCGA-ACC
BLAIN_p_TCGA_282_304_b2_N_GenomeWideSNP_6_D03_1348438.nocnv_grch38.seg.v2.txt	TCGA-OR-A5JM-10B-01D-A29K-01	TCGA-ACC
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_D04_1348406.nocnv_grch38.seg.v2.txt	TCGA-OR-A5KZ-10A-01D-A29K-01	TCGA-ACC
GAMED_p_TCGA_B_312_313_314_NSP_GenomeWideSNP_6_D06_1361710.nocnv_grch38.seg.v2.txt	TCGA-OR-A5JH-01A-11D-A309-01	TCGA-ACC
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_B12_1348396.nocnv_grch38.seg.v2.txt	TCGA-P6-A5OF-10A-01D-A29K-01	TCGA-ACC
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_D09_1348392.nocnv_grch38.seg.v2.txt	TCGA-OR-A5LP-01A-11D-A29H-01	TCGA-ACC
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_C12_1348322.nocnv_grch38.seg.v2.txt	TCGA-OR-A5LP-10A-01D-A29K-01	TCGA-ACC
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_D11_1348418.nocnv_grch38.seg.v2.txt	TCGA-OR-A5LJ-01A-11D-A29H-01	TCGA-ACC
GAMED_p_TCGA_B_312_313_314_NSP_GenomeWideSNP_6_F05_1361644.nocnv_grch38.seg.v2.txt	TCGA-PK-A5HC-11A-11D-A309-01	TCGA-ACC
GAMED_p_TCGA_B_312_313_314_NSP_GenomeWideSNP_6_F04_1361670.nocnv_grch38.seg.v2.txt	TCGA-PK-A5HC-01A-11D-A309-01	TCGA-ACC
