gene,PRKAR2A_1,PRKAR2A_2,PRKAR2A_3,BAP_1,BAP_2,BAP_3,Fusion_1,Fusion_2,Doublemutant_1,Doublemutant_2,Doublemutant_3,Doublemutant_DUC_1,Doublemutant_DUC_2,Doublemutant_DUC_3,WT_1,WT_2,WT_DUC_1,WT_DUC_2,BAP_4,BAP_5,Fusion_3,Fusion_4,Fusion_5,PRKAR2A_4,WT_3,WT_4,WT_DUC_3,WT_DUC_4,Doublemutant_4,Doublemutant_5,Doublemutant_DUC_4
A1BG,118,45,87,144,29,247,105,116,9,4,10,4,7,0,363,212,269,227,210,159,47,51,76,104,323,301,196,152,5,4,4
A1BG-AS1,48,73,96,68,10,78,110,100,4,2,5,0,0,1,111,63,89,103,60,65,23,59,48,57,62,64,334,246,0,4,0
A1CF,7206,6821,4389,6075,1639,6829,7864,8578,680,2965,3458,465,1261,167,8913,10436,11815,8810,11127,6017,4414,4086,4092,3981,7652,8054,5391,6367,1043,1096,276
A2M,206663,291715,186171,128709,37743,236140,200441,145936,766,73907,24037,16,8,4,243016,262668,183094,150175,229912,156820,46902,140095,99494,195660,304794,231101,500785,462547,3853,7768,14
A2M-AS1,18,26,11,13,13,20,18,24,24,13,12,14,1,11,6,5,3,1,14,6,3,10,15,14,4,6,9,11,0,6,14
A2ML1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A2MP1,8,27,23,1,0,1,22,23,1,0,0,0,6,0,34,25,15,4,0,0,0,21,8,26,12,26,10,5,0,0,0
A3GALT2,0,4,0,1,1,1,4,4,2,0,0,0,0,2,2,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2
A4GALT,5,10,4,4,99,8,12,4,81,41,57,227,573,131,6,11,14,8,1,1,0,4,7,8,2,0,1,0,63,48,136
A4GNT,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
AAAS,1574,1336,1170,1000,909,1149,1283,1465,1169,913,1117,948,1334,840,866,967,539,530,796,865,469,857,805,1008,734,781,475,393,654,799,630
AACS,1296,2033,1850,1336,3229,2015,2112,2118,4561,1960,1887,3004,2910,2651,1842,2121,970,852,978,1284,462,1264,1087,1479,1470,1441,1043,823,1686,2158,1737
AACSP1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AADAC,988,610,560,528,44,862,586,935,336,454,188,370,685,149,2548,1016,5922,4549,1346,543,327,581,412,431,519,2236,1121,2285,115,144,177
AADACL2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,5,1,4,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
