ID	Symbol	GeneLength	E10.5#1	E10.5#2	E11.5#1	E11.5#2	E12.5#1	E12.5#2	E13.5#1	E13.5#2	E14.5#1	E14.5#2	E15.5#1	E15.5#2	E16.5#1	E16.5#2	E17.5#1	E17.5#2	E18.5#1	E18.5#2
ENSMUSG00000000001	Gnai3	3262	5447	4825	3219	3645	4044	2003	1525	1333	2922	3003	2539	2504	3543	3174	1531	2137	2220	1661
ENSMUSG00000000003	Pbsn	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	2143	1058	807	633	636	661	598	528	565	658	359	356	298	309	376	69	77	29	39
ENSMUSG00000000031	H19	2286	153436	123837	200844	197981	307658	280409	353458	371480	320286	302062	375092	363167	474637	390172	334464	344735	460397	343868
ENSMUSG00000000037	Scml2	4847	140	133	94	100	130	48	37	27	85	39	25	28	33	24	6	12	10	4
ENSMUSG00000000049	Apoh	1190	102	81	853	805	3894	4557	6197	8924	12888	17292	27992	42293	60899	45010	76937	59414	103227	74527
ENSMUSG00000000056	Narf	4395	852	739	573	677	630	429	464	489	848	587	648	505	696	693	554	503	749	633
ENSMUSG00000000058	Cav2	2733	7	5	9	5	3	1	4	2	11	9	1	7	7	4	4	5	11	10
ENSMUSG00000000078	Klf6	4217	1188	561	620	622	3540	1439	879	320	1319	751	841	689	669	513	151	184	163	210
ENSMUSG00000000085	Scmh1	3544	737	715	606	630	736	723	787	699	795	478	610	564	509	465	261	229	386	296
ENSMUSG00000000088	Cox5a	690	1376	1238	795	1073	1605	1482	1296	910	1096	1023	834	1195	1452	885	876	869	1007	1020
ENSMUSG00000000093	Tbx2	3626	123	136	8	14	60	14	118	11	43	11	11	30	15	2	5	5	3	13
ENSMUSG00000000094	Tbx4	3153	6	11	2	1	3	0	1	3	1	0	0	1	0	0	1	0	0	0
ENSMUSG00000000103	Zfy2	2846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	3446	101	82	42	32	229	45	275	52	174	19	42	59	24	12	1	2	0	5
ENSMUSG00000000125	Wnt3	3076	5	7	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	3320	24	39	5	7	3	1	9	7	3	0	5	8	11	3	1	0	4	1
ENSMUSG00000000127	Fer	3008	439	413	353	314	392	254	214	166	315	216	203	165	184	202	71	108	129	93
ENSMUSG00000000131	Xpo6	5028	3042	2907	1727	1717	1959	1640	1820	1738	1822	1264	1332	1104	1109	1183	719	714	948	975
ENSMUSG00000000134	Tfe3	6328	693	634	501	534	718	554	792	773	644	509	517	477	418	442	303	234	283	311
ENSMUSG00000000142	Axin2	4260	757	726	253	298	258	222	384	306	176	115	90	53	67	86	32	38	41	61
ENSMUSG00000000148	Brat1	3854	475	434	439	463	576	521	659	678	796	469	459	418	504	404	206	175	179	136
ENSMUSG00000000149	Gna12	3416	1587	1349	895	964	1101	788	1076	1303	1042	774	652	673	573	718	258	243	324	194
ENSMUSG00000000154	Slc22a18	1552	99	61	203	223	419	443	644	745	472	574	587	607	792	626	311	269	265	179
ENSMUSG00000000157	Itgb2l	2806	0	0	17	10	26	31	31	8	31	27	26	50	75	27	7	27	9	41
ENSMUSG00000000159	Igsf5	1851	30	28	48	56	82	90	98	90	145	151	146	180	198	198	162	133	182	186
ENSMUSG00000000167	Pih1d2	1493	29	40	23	34	32	17	17	17	23	9	8	9	3	9	5	4	6	4
ENSMUSG00000000168	Dlat	4035	2219	2008	1287	1716	1979	1220	1031	1042	1473	1241	1163	1048	1412	1079	729	970	1022	708
ENSMUSG00000000171	Sdhd	1287	5473	4090	4546	4624	5643	5305	3939	5376	5169	4759	5020	5011	6375	5590	4835	4467	5758	3814
ENSMUSG00000000182	Fgf23	1814	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	1232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	5701	6905	6158	1873	2102	2185	921	930	753	946	382	291	205	117	128	29	65	60	84
ENSMUSG00000000194	Gpr107	6134	1234	1084	763	743	975	847	749	790	863	624	592	585	577	609	343	331	533	362
ENSMUSG00000000197	Nalcn	7115	2	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000202	Btbd17	3020	2	1	4	2	2	5	2	4	1	5	0	0	0	0	0	0	2	0
ENSMUSG00000000204	Slfn4	3963	0	4	0	0	5	6	7	7	12	9	1	26	24	3	7	18	20	37
ENSMUSG00000000214	Th	1996	50	48	1	2	0	0	1	0	0	4	0	0	1	0	0	0	0	0
ENSMUSG00000000215	Ins2	583	394	0	0	1385	202	0	227	1	1	1385	391	0	226	1	0	1303	571	2
ENSMUSG00000000216	Scnn1g	2991	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
ENSMUSG00000000223	Drp2	7135	90	105	34	35	40	47	58	26	63	26	30	17	15	15	5	4	0	0
ENSMUSG00000000244	Tspan32	1876	9	9	31	75	86	41	50	58	224	71	60	49	42	36	4	8	12	22
ENSMUSG00000000247	Lhx2	2840	425	421	108	116	397	69	372	49	190	43	41	34	35	9	2	6	0	3
ENSMUSG00000000248	Clec2g	2463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	Gmpr	1580	25	19	27	65	93	41	189	68	232	44	66	47	17	16	1	11	6	11
ENSMUSG00000000263	Glra1	2390	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	6271	21	36	19	14	28	6	11	10	27	26	29	47	35	33	17	27	58	23
ENSMUSG00000000275	Trim25	5590	3427	2815	2550	2595	2845	1995	2056	2426	2624	2397	2103	1857	1983	2151	948	940	1448	1113
ENSMUSG00000000276	Dgke	8347	238	221	84	129	125	61	72	39	105	40	58	33	35	55	21	41	14	25
ENSMUSG00000000278	Scpep1	2097	3359	2740	3773	3390	4868	4048	3242	4057	4152	3175	3672	2991	3741	3631	1716	1495	1916	1733
ENSMUSG00000000282	Mnt	4590	521	465	353	446	496	319	506	451	434	331	328	252	314	314	214	159	193	164
ENSMUSG00000000290	Itgb2	2970	13	10	125	91	162	72	92	131	235	162	107	145	174	124	11	40	48	47
ENSMUSG00000000295	Hddc2	2781	200	217	72	103	101	65	68	50	102	38	24	22	21	15	14	19	20	22
ENSMUSG00000000296	Tpd52l1	1267	50	62	20	16	9	13	17	19	13	12	11	15	10	6	9	10	15	13
ENSMUSG00000000301	Pemt	1003	74	72	45	49	77	78	115	104	88	85	154	266	672	269	3365	3042	8120	5552
ENSMUSG00000000303	Cdh1	4430	1825	1706	1839	1865	2894	2111	2867	4216	4278	4854	5068	4571	4873	6044	2609	2413	3655	2793
ENSMUSG00000000305	Cdh4	6388	36	38	9	11	8	8	11	3	3	4	1	2	3	0	0	2	2	5
ENSMUSG00000000308	Ckmt1	1620	4	8	0	1	0	1	0	0	0	2	0	0	1	0	0	1	0	3
ENSMUSG00000000317	Bcl6b	3366	7	11	2	6	2	5	4	5	4	4	2	8	3	3	1	5	2	12
ENSMUSG00000000318	Clec10a	2332	1	3	4	3	1	1	1	1	3	1	2	4	0	2	0	0	1	0
ENSMUSG00000000320	Alox12	3001	1	7	10	19	18	7	59	13	9	11	1	9	5	16	6	3	3	13
ENSMUSG00000000325	Arvcf	4800	806	757	324	377	463	362	550	397	523	302	294	300	301	225	125	118	191	109
ENSMUSG00000000326	Comt	1978	666	530	535	624	802	744	790	863	787	567	578	577	595	561	775	736	1786	929
ENSMUSG00000000339	Rtca	1594	934	843	400	564	616	545	465	385	431	283	239	258	252	279	134	137	91	96
