Sample_title	Sample_geo_accession	Sample_source_name_ch1	Sample_organism_ch1	Sample_characteristics_ch1	Sample_characteristics_ch1	Sample_characteristics_ch1	Sample_characteristics_ch1	Sample_characteristics_ch1	Sample_platform_id	ID_REF
E10.5D_1_01	GSM2396088	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396088
E10.5D_1_02	GSM2396089	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396089
E10.5D_1_03	GSM2396090	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396090
E10.5D_1_04	GSM2396091	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396091
E10.5D_1_05	GSM2396092	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396092
E10.5D_1_06	GSM2396093	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396093
E10.5D_1_07	GSM2396094	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396094
E10.5D_1_08	GSM2396095	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396095
E10.5D_1_09	GSM2396096	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396096
E10.5D_1_10	GSM2396097	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396097
E10.5D_1_11	GSM2396098	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396098
E10.5D_1_12	GSM2396099	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396099
E10.5D_1_13	GSM2396100	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396100
E10.5D_1_14	GSM2396101	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396101
E10.5D_1_15	GSM2396102	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396102
E10.5D_1_16	GSM2396103	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396103
E10.5D_2_01	GSM2396104	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396104
E10.5D_2_02	GSM2396105	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396105
E10.5D_2_03	GSM2396106	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396106
E10.5D_2_04	GSM2396107	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396107
E10.5D_2_05	GSM2396108	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396108
E10.5D_2_06	GSM2396109	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396109
E10.5D_2_07	GSM2396110	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396110
E10.5D_2_08	GSM2396111	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396111
E10.5D_2_09	GSM2396112	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396112
E10.5D_2_10	GSM2396113	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396113
E10.5D_2_11	GSM2396114	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396114
E10.5D_2_12	GSM2396115	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396115
E10.5D_2_13	GSM2396116	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396116
E10.5D_2_14	GSM2396117	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396117
E10.5D_2_15	GSM2396118	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396118
E10.5D_2_16	GSM2396119	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396119
E10.5D_2_17	GSM2396120	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396120
E10.5D_2_18	GSM2396121	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396121
E10.5D_2_19	GSM2396122	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396122
E10.5D_2_20	GSM2396123	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396123
E10.5D_2_21	GSM2396124	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396124
E10.5D_2_22	GSM2396125	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396125
E10.5D_3_01	GSM2396126	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396126
E10.5D_3_02	GSM2396127	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396127
E10.5D_3_03	GSM2396128	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396128
E10.5D_3_04	GSM2396129	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396129
E10.5D_3_05	GSM2396130	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396130
E10.5D_3_06	GSM2396131	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396131
E10.5D_3_07	GSM2396132	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396132
E10.5D_3_08	GSM2396133	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396133
E10.5D_3_09	GSM2396134	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396134
E10.5D_3_10	GSM2396135	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396135
E10.5D_3_11	GSM2396136	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396136
E10.5D_3_12	GSM2396137	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396137
E10.5D_3_13	GSM2396138	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396138
E10.5D_3_14	GSM2396139	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396139
E10.5D_3_15	GSM2396140	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396140
E10.5D_3_16	GSM2396141	Liver	Mus musculus	embryonic day: E10.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396141
E11.5D_1_01	GSM2396142	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396142
E11.5D_1_02	GSM2396143	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396143
E11.5D_1_03	GSM2396144	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396144
E11.5D_1_04	GSM2396145	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396145
E11.5D_1_05	GSM2396146	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396146
E11.5D_1_06	GSM2396147	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396147
E11.5D_1_07	GSM2396148	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396148
E11.5D_1_08	GSM2396149	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396149
E11.5D_1_09	GSM2396150	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396150
E11.5D_1_10	GSM2396151	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396151
E11.5D_1_11	GSM2396152	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396152
E11.5D_1_12	GSM2396153	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396153
E11.5D_1_13	GSM2396154	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396154
E11.5D_1_14	GSM2396155	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396155
E11.5D_1_15	GSM2396156	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396156
E11.5D_1_16	GSM2396157	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396157
E11.5D_2_01	GSM2396158	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396158
E11.5D_2_02	GSM2396159	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396159
E11.5D_2_03	GSM2396160	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396160
E11.5D_2_04	GSM2396161	Liver	Mus musculus	embryonic day: E11.5	culture time: NA	treatment: NA	"sorting: P1 gate, DLK+"	putative cell type: hepatoblast/hepatocyte	GPL17021	GSM2396161
