ensembl_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	description
ENSG00000000460	267.8772409	-0.344610098	0.149186178	0.004679464	0.025216468	C1orf112	chromosome 1 open reading frame 112
ENSG00000001084	3625.37623	-0.401055693	0.121795463	0.000161101	0.001811991	GCLC	glutamate-cysteine ligase catalytic subunit
ENSG00000001460	320.5528144	-0.566062816	0.119687874	1.22E-07	4.61E-06	STPG1	sperm tail PG-rich repeat containing 1
ENSG00000001629	1464.382715	0.232313706	0.094224751	0.006396752	0.028217788	ANKIB1	ankyrin repeat and IBR domain containing 1
ENSG00000002586	10089.59464	-0.233247145	0.100667642	0.010379844	0.045703497	CD99	CD99 molecule (Xg blood group)
ENSG00000002745	18.43282205	-1.44079837	0.409460364	3.86E-06	8.62E-05	WNT16	Wnt family member 16
ENSG00000002822	63.89140771	1.299431946	0.251524551	2.44E-08	1.17E-06	MAD1L1	mitotic arrest deficient 1 like 1
ENSG00000003402	3801.848053	0.301593742	0.06656815	1.96E-06	4.85E-05	CFLAR	CASP8 and FADD like apoptosis regulator
ENSG00000003436	10686.57908	-1.149126858	0.227105637	8.19E-11	8.21E-09	TFPI	tissue factor pathway inhibitor
ENSG00000003756	1813.609727	-0.365095967	0.06806156	2.13E-08	1.05E-06	RBM5	RNA binding motif protein 5
ENSG00000003987	154.5753545	-0.549044654	0.306601096	0.003050893	0.018277778	MTMR7	myotubularin related protein 7
ENSG00000004478	4800.079586	0.263002403	0.093427854	0.002639314	0.016328702	FKBP4	FKBP prolyl isomerase 4
ENSG00000004534	2342.908175	-0.354101011	0.082444847	4.68E-06	8.65E-05	RBM6	RNA binding motif protein 6
ENSG00000004776	307.9372268	-0.68402602	0.370134449	0.002742397	0.01682248	HSPB6	heat shock protein family B (small) member 6
ENSG00000004779	2732.700531	0.250340357	0.09270133	0.003604202	0.020648974	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1
ENSG00000004799	9936.71532	-0.989135749	0.258866119	2.54E-06	6.05E-05	PDK4	pyruvate dehydrogenase kinase 4
ENSG00000005007	5292.468637	0.20492134	0.064427566	0.001340371	0.009680866	UPF1	UPF1 RNA helicase and ATPase
ENSG00000005020	1336.43654	-0.369472224	0.161349027	0.002454918	0.015371265	SKAP2	src kinase associated phosphoprotein 2
ENSG00000005022	12842.75974	0.274626642	0.096359617	0.001956458	0.012887107	SLC25A5	solute carrier family 25 member 5
ENSG00000005187	884.9302091	-0.672786221	0.226534876	0.000218537	0.002291859	ACSM3	acyl-CoA synthetase medium chain family member 3
ENSG00000005189	225.9424466	-0.392362148	0.136740754	0.001007643	0.007741817	REXO5	RNA exonuclease 5
ENSG00000005194	1800.040876	0.309522843	0.077403007	2.95E-05	0.000467111	CIAPIN1	cytokine induced apoptosis inhibitor 1
ENSG00000005206	1822.351005	0.215276032	0.08989426	0.009658156	0.043349948	SPPL2B	signal peptide peptidase like 2B
ENSG00000005243	1021.825724	-0.776404247	0.160826257	3.09E-08	1.41E-06	COPZ2	COPI coat complex subunit zeta 2
ENSG00000005302	785.7546236	-0.225005251	0.062931092	0.000151259	0.001721581	MSL3	MSL complex subunit 3
ENSG00000005421	11431.34993	0.369572602	0.339600773	0.011624874	0.049693503	PON1	paraoxonase 1
ENSG00000005961	24.32055837	0.462819534	0.247850993	0.006705143	0.03320006	ITGA2B	integrin subunit alpha 2b
ENSG00000006016	140.8497262	0.805956313	0.32157709	0.001387668	0.009839532	CRLF1	cytokine receptor like factor 1
ENSG00000006118	1286.063804	0.370123583	0.189254918	0.007328478	0.035233408	TMEM132A	transmembrane protein 132A
ENSG00000006210	2443.116836	0.58920828	0.151951137	2.21E-05	0.000369253	CX3CL1	C-X3-C motif chemokine ligand 1
ENSG00000006282	4037.125919	0.550197426	0.111469475	1.10E-07	4.20E-06	SPATA20	spermatogenesis associated 20
ENSG00000006283	14.49032749	1.167331204	0.355669363	3.36E-05	0.000520366	CACNA1G	calcium voltage-gated channel subunit alpha1 G
ENSG00000006377	20.86906424	-0.253183232	0.462490611	0.002112209	0.013002387	DLX6	distal-less homeobox 6
ENSG00000006468	524.9748964	-1.123390629	0.234754599	7.87E-09	4.67E-07	ETV1	ETS variant transcription factor 1
ENSG00000006555	406.3763145	-0.376308286	0.21002676	0.008119535	0.039653921	TTC22	tetratricopeptide repeat domain 22
ENSG00000006695	617.1616107	0.532796754	0.092406242	2.26E-09	1.52E-07	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
ENSG00000006704	987.1685006	0.265845611	0.110227967	0.008229429	0.038485415	GTF2IRD1	GTF2I repeat domain containing 1
ENSG00000006715	2181.504662	0.317410922	0.07485637	8.40E-06	0.000167982	VPS41	VPS41 subunit of HOPS complex
ENSG00000006744	3110.22675	0.248479183	0.076701674	0.000735384	0.006076616	ELAC2	elaC ribonuclease Z 2
ENSG00000006747	697.2024617	-0.41435333	0.37918485	0.00876955	0.040348388	SCIN	scinderin
ENSG00000006757	1054.504256	0.39630008	0.100084114	1.67E-05	0.0002963	PNPLA4	patatin like phospholipase domain containing 4
ENSG00000007001	458.0589337	-0.313222585	0.442562844	0.011006684	0.047793128	UPP2	uridine phosphorylase 2
ENSG00000007047	2468.602557	0.203738519	0.0834938	0.010351009	0.039696879	MARK4	microtubule affinity regulating kinase 4
ENSG00000007168	3114.104936	0.194484227	0.063733827	0.00163005	0.011200021	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
ENSG00000007202	3778.36159	0.235261555	0.087719932	0.004075404	0.022726223	BLTP2	bridge-like lipid transfer protein family member 2
ENSG00000007264	259.3111188	0.996687009	0.210377005	2.56E-08	1.21E-06	MATK	megakaryocyte-associated tyrosine kinase
ENSG00000007350	66.64632053	1.247775856	0.46589952	0.000416732	0.00383992	TKTL1	transketolase like 1
ENSG00000007372	31.42175911	1.249635393	0.472965694	0.00050098	0.004449504	PAX6	paired box 6
ENSG00000007384	952.9386364	0.298746846	0.113753085	0.003039313	0.018226711	RHBDF1	rhomboid 5 homolog 1
ENSG00000007908	147.5968168	-0.581773939	0.393682638	0.002525296	0.015725258	SELE	selectin E
ENSG00000007933	12921.42549	-0.778825748	0.284361898	1.85E-05	0.000321647	FMO3	flavin containing dimethylaniline monoxygenase 3
ENSG00000008083	888.6846476	-0.390523429	0.090728457	4.03E-06	8.95E-05	JARID2	jumonji and AT-rich interaction domain containing 2
ENSG00000008226	46.96809427	-0.428816594	0.189380752	0.003365914	0.019627776	DLEC1	DLEC1 cilia and flagella associated protein
ENSG00000008283	1969.574897	0.402119633	0.167348808	0.004278754	0.02036358	CYB561	cytochrome b561
ENSG00000008300	331.1554507	-1.28832292	0.201019657	1.04E-11	1.37E-09	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3
ENSG00000008324	735.5187693	-0.40828402	0.091674107	1.31E-06	3.48E-05	SS18L2	SS18 like 2
ENSG00000008405	711.177963	-0.310580891	0.107616247	0.001089342	0.008210847	CRY1	cryptochrome circadian regulator 1
ENSG00000008735	1176.088372	-0.579237398	0.296053218	0.003120245	0.018567364	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2
ENSG00000009780	361.0507916	-0.242973045	0.078357175	0.000741726	0.006352216	FAM76A	family with sequence similarity 76 member A
ENSG00000009954	3586.458593	0.176224037	0.066499235	0.005079431	0.02680861	BAZ1B	bromodomain adjacent to zinc finger domain 1B
ENSG00000010318	224.672079	-0.655937094	0.102612444	1.05E-11	1.37E-09	PHF7	PHD finger protein 7
ENSG00000010322	3382.714821	-0.403093268	0.065539167	3.73E-10	3.19E-08	NISCH	nischarin
ENSG00000010379	936.0223423	0.635090077	0.328123426	0.002041159	0.013289819	SLC6A13	solute carrier family 6 member 13
ENSG00000010438	292.5389075	-1.425508484	0.69509721	4.23E-05	0.000627512	PRSS3	serine protease 3
ENSG00000010704	1046.946711	-0.615471344	0.133807254	2.30E-07	7.94E-06	HFE	homeostatic iron regulator
ENSG00000010810	1832.331508	-0.555569741	0.127976767	1.68E-06	4.27E-05	FYN	"FYN proto-oncogene, Src family tyrosine kinase"
ENSG00000011028	2265.234448	0.433819314	0.217950651	0.005982646	0.030353469	MRC2	mannose receptor C type 2
ENSG00000011143	486.3014078	-0.237301021	0.074494922	0.000663506	0.005549999	MKS1	MKS transition zone complex subunit 1
ENSG00000011198	914.4890874	-0.495804676	0.088252678	3.02E-09	1.95E-07	ABHD5	"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
ENSG00000011260	1354.697916	-0.253894572	0.071140858	0.000139867	0.001612699	UTP18	UTP18 small subunit processome component
ENSG00000011295	1404.657526	0.509101206	0.087896204	2.57E-09	1.48E-07	TTC19	tetratricopeptide repeat domain 19
ENSG00000011376	1028.528066	-0.426808834	0.079469232	1.94E-08	9.68E-07	LARS2	"leucyl-tRNA synthetase 2, mitochondrial"
ENSG00000011405	1797.958193	0.255948888	0.103792569	0.004636014	0.021671638	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
ENSG00000011485	2134.390759	0.287319483	0.067945155	1.02E-05	0.000194768	PPP5C	protein phosphatase 5 catalytic subunit
ENSG00000011566	1165.539064	0.474364538	0.093701724	4.64E-08	1.99E-06	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3
ENSG00000011677	37.30868338	-0.261186207	0.502220567	0.001082309	0.00817501	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3
ENSG00000012048	388.5701816	-0.344666209	0.12940382	0.001340887	0.010055633	BRCA1	BRCA1 DNA repair associated
ENSG00000012171	1589.021611	-0.649306127	0.30695278	0.000784826	0.006383504	SEMA3B	semaphorin 3B
ENSG00000012232	2143.795549	-0.349072978	0.112277706	0.000448869	0.004083992	EXTL3	exostosin like glycosyltransferase 3
ENSG00000012779	625.4819141	0.401902087	0.208364496	0.009839098	0.043897799	ALOX5	arachidonate 5-lipoxygenase
ENSG00000012817	823.8140475	-1.138254012	0.619525047	0.00036576	0.003446115	KDM5D	lysine demethylase 5D
ENSG00000012822	3012.892858	-0.206886373	0.081125244	0.006836615	0.033648503	CALCOCO1	calcium binding and coiled-coil domain 1
ENSG00000013293	19.00727205	-0.960417612	0.823046608	0.000800378	0.00617861	SLC7A14	solute carrier family 7 member 14
ENSG00000013503	623.940933	0.21898631	0.073532652	0.001865707	0.012402413	POLR3B	RNA polymerase III subunit B
ENSG00000013523	1014.76417	-0.250841892	0.107979166	0.009618257	0.043232389	ANGEL1	angel homolog 1
ENSG00000013561	2430.275334	0.348853036	0.067272718	8.70E-08	2.92E-06	RNF14	ring finger protein 14
ENSG00000013588	1047.353852	-1.06247991	0.418644858	8.70E-05	0.001106581	GPRC5A	G protein-coupled receptor class C group 5 member A
ENSG00000014216	7489.689857	0.210170006	0.083707488	0.007303464	0.035148563	CAPN1	calpain 1
ENSG00000014641	7959.919624	0.447987084	0.085793561	3.42E-08	1.54E-06	MDH1	malate dehydrogenase 1
ENSG00000014824	2123.315724	0.4716489	0.077460997	3.19E-10	2.81E-08	SLC30A9	solute carrier family 30 member 9
ENSG00000014914	848.3539764	-0.434097357	0.227290205	0.004554241	0.024613951	MTMR11	myotubularin related protein 11
ENSG00000014919	1552.185548	0.19656766	0.06559792	0.001705743	0.01159322	COX15	cytochrome c oxidase assembly homolog COX15
ENSG00000016864	2563.52598	-0.566516801	0.08904489	7.14E-12	1.01E-09	GLT8D1	glycosyltransferase 8 domain containing 1
ENSG00000019102	185.2065805	-1.57923395	0.385745218	8.71E-08	3.45E-06	VSIG2	V-set and immunoglobulin domain containing 2
ENSG00000019144	1912.999962	0.312732637	0.140250266	0.008731745	0.040229839	PHLDB1	pleckstrin homology like domain family B member 1
ENSG00000019549	1008.497403	-0.716847225	0.232363019	6.94E-05	0.000923959	SNAI2	snail family transcriptional repressor 2
ENSG00000020129	1156.675242	0.383753636	0.093067602	7.18E-06	0.000146885	NCDN	neurochondrin
ENSG00000020426	353.7462884	-0.351385687	0.079333334	1.35E-06	3.56E-05	MNAT1	MNAT1 component of CDK activating kinase
ENSG00000021488	654.5432293	0.397501793	0.207671172	0.007989491	0.037682344	SLC7A9	solute carrier family 7 member 9
ENSG00000021645	238.252129	-0.593189292	0.410280809	0.004560029	0.024639649	NRXN3	neurexin 3
ENSG00000023228	4762.017526	0.335818128	0.079683297	9.40E-06	0.0001852	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1
ENSG00000023318	4062.985813	0.170790453	0.070862182	0.010687879	0.04678315	ERP44	endoplasmic reticulum protein 44
ENSG00000023330	10742.50736	-0.540126995	0.151533157	2.40E-05	0.000394352	ALAS1	5'-aminolevulinate synthase 1
ENSG00000023734	3969.523451	0.24020118	0.064361027	9.44E-05	0.001179251	STRAP	serine/threonine kinase receptor associated protein
ENSG00000025156	375.0705958	-0.425186158	0.08561381	1.42E-07	5.22E-06	HSF2	heat shock transcription factor 2
ENSG00000025423	15978.91599	-0.407161035	0.254645819	0.010550535	0.046267197	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6
ENSG00000026559	74.4934964	1.440134207	0.309851374	1.44E-06	3.75E-05	KCNG1	potassium voltage-gated channel modifier subfamily G member 1
ENSG00000028528	4334.586752	0.204712536	0.065043455	0.001079045	0.008153915	SNX1	sorting nexin 1
ENSG00000028839	373.4905736	-0.46862832	0.097018301	9.00E-08	3.54E-06	TBPL1	TATA-box binding protein like 1
ENSG00000030110	795.9403081	0.307350794	0.109334609	0.00195957	0.01284625	BAK1	BCL2 antagonist/killer 1
ENSG00000030419	152.8678038	-0.841038903	0.172455317	1.50E-08	7.69E-07	IKZF2	IKAROS family zinc finger 2
ENSG00000032389	1001.85914	0.349525772	0.077330118	2.03E-06	4.98E-05	EIPR1	EARP complex and GARP complex interacting protein 1
ENSG00000033011	1012.67851	0.216843709	0.081633734	0.004202324	0.023254616	ALG1	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase
ENSG00000033122	54.82837056	0.414146185	0.199913866	0.005789974	0.029589891	LRRC7	leucine rich repeat containing 7
ENSG00000034053	355.8819314	0.923389274	0.241438256	1.07E-05	0.000203131	APBA2	amyloid beta precursor protein binding family A member 2
ENSG00000034239	52.29661433	-1.584588485	0.364636234	2.92E-08	1.35E-06	CLXN	calaxin
ENSG00000034533	219.4691885	-0.292940368	0.062999542	1.56E-06	4.02E-05	ASTE1	asteroid homolog 1
ENSG00000034677	2554.364269	0.365730468	0.116150182	0.000227594	0.002367851	RNF19A	"ring finger protein 19A, RBR E3 ubiquitin protein ligase"
ENSG00000035141	1705.958278	0.247720073	0.074893955	0.000598893	0.005100743	FAM136A	family with sequence similarity 136 member A
ENSG00000036448	140.0047637	0.690753959	0.231620612	0.000356039	0.003362492	MYOM2	myomesin 2
ENSG00000036473	3751.535492	-0.521245275	0.419898155	0.005746678	0.029567122	OTC	ornithine transcarbamylase
ENSG00000036530	42.37468879	-0.425675647	0.185281017	0.003491573	0.020163391	CYP46A1	cytochrome P450 family 46 subfamily A member 1
ENSG00000037241	952.008393	0.217217556	0.090706259	0.008563861	0.039705989	RPL26L1	ribosomal protein L26 like 1
ENSG00000037757	380.3364472	0.255609676	0.092491083	0.002950817	0.017784663	MRI1	methylthioribose-1-phosphate isomerase 1
ENSG00000038274	3006.109828	-0.305109008	0.084080559	6.66E-05	0.000904877	MAT2B	methionine adenosyltransferase 2B
ENSG00000039068	9063.233553	0.778651823	0.191516653	6.36E-06	0.000132476	CDH1	cadherin 1
ENSG00000039123	1825.095971	0.272437977	0.073700103	0.000101147	0.001069627	MTREX	Mtr4 exosome RNA helicase
ENSG00000040608	441.2655287	0.496743259	0.180196223	0.001445875	0.010239701	RTN4R	reticulon 4 receptor
ENSG00000041357	4791.149223	0.198921946	0.074380101	0.003861313	0.021792165	PSMA4	proteasome 20S subunit alpha 4
ENSG00000041515	109.3769394	-0.945602092	0.278258778	2.66E-06	6.26E-05	MYO16	myosin XVI
ENSG00000041802	1448.782358	-0.207922932	0.051772211	3.20E-05	0.000498081	LSG1	large 60S subunit nuclear export GTPase 1
ENSG00000042088	498.325272	-0.217495294	0.070571855	0.001165203	0.009026921	TDP1	tyrosyl-DNA phosphodiesterase 1
ENSG00000042317	271.1761818	-0.440965293	0.097237854	5.83E-07	1.74E-05	SPATA7	spermatogenesis associated 7
ENSG00000042493	2563.840764	-0.478808474	0.217173176	0.002254698	0.012396914	CAPG	"capping actin protein, gelsolin like"
ENSG00000043093	1336.987894	0.226029537	0.077246461	0.002275803	0.01451646	DCUN1D1	defective in cullin neddylation 1 domain containing 1
ENSG00000043514	650.8937715	0.167311737	0.070453287	0.011314345	0.048773944	TRIT1	tRNA isopentenyltransferase 1
ENSG00000044012	145.3820017	0.939948873	0.596032912	0.007011949	0.034200994	GUCA2B	guanylate cyclase activator 2B
ENSG00000044090	2162.089945	0.219064025	0.090854502	0.009435103	0.042621437	CUL7	cullin 7
ENSG00000044459	618.2170559	-0.476262021	0.123245458	1.00E-05	0.000215794	CNTLN	centlein
ENSG00000044574	41236.39935	0.225454777	0.092887193	0.008177821	0.038350718	HSPA5	heat shock protein family A (Hsp70) member 5
ENSG00000046774	333.5911646	-0.055793807	0.243130019	0.008948676	0.040525099	MAGEC2	MAGE family member C2
ENSG00000047056	765.9839224	0.190893245	0.073086783	0.006795997	0.033517739	WDR37	WD repeat domain 37
ENSG00000047230	928.0640286	0.224806264	0.077843791	0.00240371	0.015122669	CTPS2	CTP synthase 2
ENSG00000047597	162.7718278	-0.796965106	0.355240534	0.000233945	0.002395611	XK	"X-linked Kx blood group antigen, Kell and VPS13A binding protein"
ENSG00000047849	11688.14718	-0.22526084	0.076268855	0.001421256	0.010124062	MAP4	microtubule associated protein 4
ENSG00000047936	34.27196922	-2.043198836	0.731759842	4.67E-06	0.000101769	ROS1	"ROS proto-oncogene 1, receptor tyrosine kinase"
ENSG00000048028	692.1173648	-0.250501756	0.081226454	0.000805301	0.006506841	USP28	ubiquitin specific peptidase 28
ENSG00000048540	48.47687407	-0.76186292	0.267353096	0.000237948	0.002449931	LMO3	LIM domain only 3
ENSG00000048707	2126.105352	0.218802842	0.087930766	0.006910329	0.033857634	VPS13D	vacuolar protein sorting 13 homolog D
ENSG00000048740	730.2651374	0.759645311	0.20560595	5.19E-06	0.000111859	CELF2	CUGBP Elav-like family member 2
ENSG00000049192	55.21485912	-0.54186254	0.255524919	0.001462504	0.010234655	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6
ENSG00000049249	188.6963106	0.387672567	0.427244059	0.009224846	0.041512477	TNFRSF9	TNF receptor superfamily member 9
ENSG00000050030	25.13941764	0.98171927	0.39663819	0.001720332	0.011669103	NEXMIF	neurite extension and migration factor
ENSG00000050767	1014.784987	0.536125026	0.242718062	0.005787129	0.029588031	COL23A1	collagen type XXIII alpha 1 chain
ENSG00000050820	3245.688855	0.39757403	0.095716561	7.63E-06	0.000154983	BCAR1	"BCAR1 scaffold protein, Cas family member"
ENSG00000051108	6343.285298	0.278576853	0.097095674	0.001768194	0.01193606	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1
ENSG00000051523	4457.220692	0.762262593	0.190070141	9.38E-06	0.000184239	CYBA	cytochrome b-245 alpha chain
ENSG00000051620	2763.149407	-0.267212843	0.110715039	0.006977276	0.034073673	HEBP2	heme binding protein 2
ENSG00000051825	539.1394295	0.300335186	0.109841262	0.002149375	0.013865735	MPHOSPH9	M-phase phosphoprotein 9
ENSG00000052802	10143.04529	-0.287673193	0.139656246	0.010309337	0.045493811	MSMO1	methylsterol monooxygenase 1
ENSG00000053108	140.9893965	0.969893589	0.380449842	9.82E-05	0.001215247	FSTL4	follistatin like 4
ENSG00000053328	29.44220658	-0.846742946	0.319214009	0.00021132	0.00223559	METTL24	methyltransferase like 24
