"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"symbol"	"description"
"ENSG00000000003"	4969.93561447889	-0.00757131845868787	0.0947993312643513	0.763271303638668	0.95967335897133	"TSPAN6"	"tetraspanin 6"
"ENSG00000000419"	1366.20210277218	-0.0116991107941076	0.0805883821148663	0.812055571348534	0.969641989286435	"DPM1"	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"ENSG00000000457"	992.516901770362	-0.362786100333499	0.255037285073685	0.0059978193080165	0.193706969124142	"SCYL3"	"SCY1 like pseudokinase 3"
"ENSG00000000460"	316.03847048274	-0.0359448919531013	0.0994024836275917	0.306888550752993	0.78138797989278	"C1orf112"	"chromosome 1 open reading frame 112"
"ENSG00000000938"	363.579045623672	0.0308089380039342	0.100997765464854	0.234492937226235	0.730071193302082	"FGR"	"FGR proto-oncogene, Src family tyrosine kinase"
"ENSG00000000971"	9267.3531320017	-0.0231660395822568	0.10082367343282	0.120682832125828	0.602647311814994	"CFH"	"complement factor H"
"ENSG00000001036"	2441.36911406757	-0.0210656252999477	0.0947525451856954	0.520517691666033	0.890197814174269	"FUCA2"	"alpha-L-fucosidase 2"
"ENSG00000001084"	2042.30653245024	-0.0100097210077969	0.095510831679602	0.680510479590198	0.936202876313761	"GCLC"	"glutamate-cysteine ligase catalytic subunit"
"ENSG00000001167"	1381.45628640372	0.030046822242581	0.0961422547414769	0.397346036155061	0.835048899857346	"NFYA"	"nuclear transcription factor Y subunit alpha"
"ENSG00000001460"	381.381994810615	-0.0322505075679285	0.0992809464959707	0.35327321470218	0.8086249185104	"STPG1"	"sperm tail PG-rich repeat containing 1"
"ENSG00000001461"	1140.55461374199	-0.0359044134615466	0.0945233212708724	0.380585148029633	0.82413835826054	"NIPAL3"	"NIPA like domain containing 3"
"ENSG00000001497"	2181.86156247057	0.147371906958321	0.165781903771235	0.0366937829304498	0.406051316652722	"LAS1L"	"LAS1 like ribosome biogenesis factor"
"ENSG00000001561"	1263.30810668393	-0.0951806981581498	0.159745770101523	0.025330973135657	0.353901840230834	"ENPP4"	"ectonucleotide pyrophosphatase/phosphodiesterase 4"
"ENSG00000001617"	1085.50316487811	0.00617174924646802	0.0937205474278422	0.820800859595287	0.969849237721354	"SEMA3F"	"semaphorin 3F"
"ENSG00000001626"	11490.9501987002	0.00976077363502261	0.0981468832754213	0.280439943715984	0.762756961049874	"CFTR"	"CF transmembrane conductance regulator"
"ENSG00000001629"	2357.3672503553	0.0281356507095164	0.0960618387925862	0.413127949756207	0.844478840397943	"ANKIB1"	"ankyrin repeat and IBR domain containing 1"
"ENSG00000001630"	120.553292061353	-0.00603241222471663	0.096060765848161	0.766335629661596	0.959917405557831	"CYP51A1"	"cytochrome P450 family 51 subfamily A member 1"
"ENSG00000001631"	287.271526126996	-0.0245541725460634	0.0886562060471028	0.580468036122592	0.912578780470802	"KRIT1"	"KRIT1 ankyrin repeat containing"
"ENSG00000002016"	585.89659675808	-0.019208140027796	0.0943725783194383	0.604444769835547	0.920957030315409	"RAD52"	"RAD52 homolog, DNA repair protein"
"ENSG00000002330"	613.520581126952	-0.0110345239438428	0.0925318714124514	0.731329956204799	0.952179905421398	"BAD"	"BCL2 associated agonist of cell death"
"ENSG00000002549"	4097.38590665183	-0.0129640799140394	0.0917515180527345	0.705181488935031	0.944364389577082	"LAP3"	"leucine aminopeptidase 3"
"ENSG00000002586"	6067.95470909086	-0.00219733245774899	0.0879983173654007	0.956063130831079	0.99429626208774	"CD99"	"CD99 molecule (Xg blood group)"
"ENSG00000002587"	1717.70626739777	0.0188614809155207	0.0997006186585007	0.122588874040848	0.606057707102731	"HS3ST1"	"heparan sulfate-glucosamine 3-sulfotransferase 1"
"ENSG00000002726"	276.920920581527	0.00182548446356172	0.0975652592520304	0.716187603288617	0.948826566362395	"AOC1"	"amine oxidase copper containing 1"
"ENSG00000002746"	30.3280488215364	0.00310442002415011	0.0969069292985174	0.813221541564584	0.969641989286435	"HECW1"	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"ENSG00000002822"	19.9550017436206	-0.0215082832201545	0.0992605289770068	0.247554987982633	0.739805098954334	"MAD1L1"	"mitotic arrest deficient 1 like 1"
"ENSG00000002834"	13631.8900696123	0.0272219297933187	0.0954465983930696	0.44312831306208	0.858891380740493	"LASP1"	"LIM and SH3 protein 1"
"ENSG00000002919"	1133.17888694021	0.0119977046674685	0.0897818795221906	0.749746078783919	0.95644918524951	"SNX11"	"sorting nexin 11"
"ENSG00000002933"	5693.10628146761	0.00389437295965248	0.0967581156114987	0.79353628060597	0.96573027413274	"TMEM176A"	"transmembrane protein 176A"
"ENSG00000003056"	2740.84792242502	-0.00355445733713847	0.0920904499102456	0.912437811089167	0.987501139189877	"M6PR"	"mannose-6-phosphate receptor, cation dependent"
"ENSG00000003096"	141.049108612636	-0.038125433265828	0.107597549513056	0.015179735945307	0.283860700262238	"KLHL13"	"kelch like family member 13"
"ENSG00000003137"	553.953167501217	0.0250878365385817	0.10234574212579	0.00389563842293987	0.159113256721227	"CYP26B1"	"cytochrome P450 family 26 subfamily B member 1"
"ENSG00000003147"	1685.17720987268	-0.00512526180683428	0.0927910395547073	0.896716738657014	0.983207171655294	"ICA1"	"islet cell autoantigen 1"
"ENSG00000003249"	2847.31501863505	-0.0296040553217913	0.100651219409784	0.242061495200782	0.735078981514566	"DBNDD1"	"dysbindin domain containing 1"
"ENSG00000003393"	1709.09686118497	0.0117771833977666	0.088953951101515	0.734827428998521	0.952320526353403	"ALS2"	"alsin Rho guanine nucleotide exchange factor ALS2"
"ENSG00000003400"	962.799060791706	0.00192457968333597	0.0902980744761158	0.929735164890445	0.99046401987947	"CASP10"	"caspase 10"
"ENSG00000003402"	6797.5902761432	0.03960180069312	0.0916884439429689	0.345594751642745	0.804029369819455	"CFLAR"	"CASP8 and FADD like apoptosis regulator"
"ENSG00000003436"	3049.05791954517	-0.0228897377466301	0.100617319974074	0.131187021065816	0.622313481972423	"TFPI"	"tissue factor pathway inhibitor"
"ENSG00000003509"	585.007806770242	0.0286375242671503	0.0865428799165619	0.527900407835761	0.892469348231801	"NDUFAF7"	"NADH:ubiquinone oxidoreductase complex assembly factor 7"
"ENSG00000003756"	2217.93572224313	-0.21983079115344	0.255405105120584	0.0191721523572956	0.316089130778805	"RBM5"	"RNA binding motif protein 5"
"ENSG00000003987"	59.7954526624502	0.021483772243082	0.0960749621473506	0.464203488941028	0.867687526216855	"MTMR7"	"myotubularin related protein 7"
