Mutation only	Copynumber only	Mutation+Copynumber	Altered	Unaltered	Cohort size	% cohort altered
KIRC	7	217	24	248	84	332	74.7
CHOL	5	17	5	27	10	37	72.97
MESO	8	25	16	49	31	80	61.25
UVM	3	10	28	41	39	80	51.25
LUSC	3	201	3	207	284	491	42.16
HNSC	2	180	1	183	316	499	36.67
ESCA	0	48	0	48	114	162	29.63
ACC	0	24	1	25	65	90	27.78
CESC	2	67	5	74	220	294	25.17
PCPG	0	40	0	40	121	161	24.84
KICH	0	15	0	15	51	66	22.73
PAAD	0	30	1	31	133	164	18.9
LUAD	5	78	0	83	420	503	16.5
BRCA	7	145	3	155	848	1003	15.45
STAD	7	55	1	63	365	428	14.72
SARC	0	30	0	30	214	244	12.3
OV	2	49	0	51	376	427	11.94
BLCA	10	34	0	44	358	402	10.95
SKCM	12	37	1	50	412	462	10.82
KIRP	6	18	6	30	254	284	10.56
UCEC	27	27	0	54	479	533	10.13
UCS	0	5	0	5	50	55	9.09
LIHC	18	8	5	31	333	364	8.52
COAD	5	18	1	24	398	422	5.69
THYM	0	6	0	6	100	106	5.66
DLBC	0	2	0	2	35	37	5.41
READ	0	8	0	8	142	150	5.33
GBM	2	16	0	18	357	375	4.8
LGG	0	17	0	17	490	507	3.35
LAML	0	4	0	4	119	123	3.25
PRAD	0	14	0	14	459	473	2.96
TGCT	1	1	0	2	147	149	1.34
THCA	0	0	0	0	468	468	0
