""	"tcga_id"	"cohort"	"purity"	"log2_bap1"	"low_expresser"	"copynumber_absolute_bap1"	"bap1_segment_location"	"bap1_segment_width"	"altered_status"	"alteration_type"	"subtype"	"bap1_activity_score"	"bap1_activity_class"
"1"	"TCGA-DK-A2I6-01"	"TCGA-BLCA"	0.54	12.655563489758	FALSE	7	"chr3:50621081-52977765"	2356685	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1188.84330602481	"Wildtype-like"
"2"	"TCGA-FD-A6TK-01"	"TCGA-BLCA"	0.22	11.833539126958	FALSE	3	"chr3:2170634-52742648"	50572015	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1439.4203255678	"Wildtype-like"
"3"	"TCGA-UY-A78L-01"	"TCGA-BLCA"	0.49	12.0949643167319	FALSE	3	"chr3:38729973-53741420"	15011448	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1335.14683156624	"Wildtype-like"
"4"	"TCGA-4Z-AA84-01"	"TCGA-BLCA"	0.43	11.3630059641401	TRUE	5	"chr3:39170971-62088871"	22917901	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1311.04495688725	"Wildtype-like"
"5"	"TCGA-XF-A9SK-01"	"TCGA-BLCA"	0.47	12.182327720759	FALSE	2	"chr3:27101230-62674891"	35573662	"unaltered"	"unaltered"	"BLCA_Luminal_infiltrated"	-1228.84862433189	"Wildtype-like"
"6"	"TCGA-YF-AA3M-01"	"TCGA-BLCA"	0.68	12.0049793426137	FALSE	4	"chr3:51018869-53959345"	2940477	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1012.75701824127	"Wildtype-like"
"7"	"TCGA-G2-A3IE-01"	"TCGA-BLCA"	0.69	12.6358788766813	FALSE	3	"chr3:39583651-59720118"	20136468	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1570.05387114869	"Wildtype-like"
"8"	"TCGA-ZF-A9RL-01"	"TCGA-BLCA"	0.85	12.0637999700816	FALSE	5	"chr3:20526745-59715704"	39188960	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1064.98555601857	"Wildtype-like"
"9"	"TCGA-HQ-A2OE-01"	"TCGA-BLCA"	0.8	10.9776305426359	TRUE	2	"chr3:51288536-53384771"	2096236	"altered"	"mutation"	"BLCA_Luminal_papillary"	-1696.65248733147	"Wildtype-like"
"10"	"TCGA-DK-AA74-01"	"TCGA-BLCA"	0.21	12.4384196421866	FALSE	2	"chr3:25704534-57074217"	31369684	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1376.13343965233	"Wildtype-like"
"11"	"TCGA-H4-A2HO-01"	"TCGA-BLCA"	0.63	11.4980328496198	TRUE	2	"chr3:49108427-53628591"	4520165	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1391.4430490758	"Wildtype-like"
"12"	"TCGA-ZF-AA53-01"	"TCGA-BLCA"	0.22	12.1201719609167	FALSE	4	"chr3:52340022-54855017"	2514996	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1192.61420053118	"Wildtype-like"
"13"	"TCGA-HQ-A5ND-01"	"TCGA-BLCA"	0.63	11.2326217532543	TRUE	2	"chr3:42210883-53766195"	11555313	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1258.74370954381	"Wildtype-like"
"14"	"TCGA-FD-A6TC-01"	"TCGA-BLCA"	0.57	12.0008252782826	FALSE	3	"chr3:42515694-80820470"	38304777	"unaltered"	"unaltered"	"BLCA_Luminal_infiltrated"	-1028.85292359689	"Wildtype-like"
"15"	"TCGA-DK-A6AW-01"	"TCGA-BLCA"	0.93	NA	FALSE	2	"chr3:2170634-127226767"	125056134	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	NA	NA
"16"	"TCGA-GV-A3JV-01"	"TCGA-BLCA"	0.66	12.2400678626046	FALSE	4	"chr3:50330306-61158895"	10828590	"unaltered"	"unaltered"	"BLCA_Luminal"	-1600.27353554128	"Wildtype-like"
"17"	"TCGA-XF-A8HH-01"	"TCGA-BLCA"	0.43	11.4699944535992	TRUE	5	"chr3:43781249-54160687"	10379439	"unaltered"	"unaltered"	"BLCA_Luminal"	-1325.41414648997	"Wildtype-like"
"18"	"TCGA-DK-A2I1-01"	"TCGA-BLCA"	0.58	11.2957217184209	TRUE	3	"chr3:47529076-52561401"	5032326	"unaltered"	"unaltered"	"BLCA_Luminal_infiltrated"	-1231.79463040673	"Wildtype-like"
"19"	"TCGA-ZF-AA5H-01"	"TCGA-BLCA"	0.58	11.6564100337743	FALSE	2	"chr3:42515707-53619843"	11104137	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1333.05638337489	"Wildtype-like"
"20"	"TCGA-E7-A7PW-01"	"TCGA-BLCA"	0.84	12.1513602002338	FALSE	4	"chr3:34288035-84706703"	50418669	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1020.50228741199	"Wildtype-like"
"21"	"TCGA-PQ-A6FI-01"	"TCGA-BLCA"	0.75	12.3054911914201	FALSE	2	"chr3:40511632-53553817"	13042186	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1374.6424480821	"Wildtype-like"
"22"	"TCGA-C4-A0EZ-01"	"TCGA-BLCA"	0.93	11.9479669506328	FALSE	3	"chr3:36147481-58758496"	22611016	"unaltered"	"unaltered"	"BLCA_Neuronal"	-1502.66987871324	"Wildtype-like"
"23"	"TCGA-FD-A62S-01"	"TCGA-BLCA"	0.36	12.33181108697	FALSE	2	"chr3:2170634-94059033"	91888400	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1385.27418028267	"Wildtype-like"
"24"	"TCGA-FD-A5C0-01"	"TCGA-BLCA"	0.58	12.9585403467648	FALSE	4	"chr3:46547183-53379396"	6832214	"unaltered"	"unaltered"	"BLCA_Luminal_infiltrated"	-1042.86773340146	"Wildtype-like"
"25"	"TCGA-GU-A42R-01"	"TCGA-BLCA"	0.78	10.8671632443079	TRUE	1	"chr3:47295025-59720118"	12425094	"altered"	"copynumber"	"BLCA_Luminal_papillary"	-1883.64245095955	"Wildtype-like"
"26"	"TCGA-UY-A78M-01"	"TCGA-BLCA"	0.69	11.6795239018485	FALSE	2	"chr3:44653014-54232204"	9579191	"altered"	"mutation"	"BLCA_Luminal"	-2429.40798306028	"Wildtype-like"
"27"	"TCGA-GV-A3QI-01"	"TCGA-BLCA"	0.95	11.2683078981656	TRUE	3	"chr3:46665706-68363298"	21697593	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1326.05249796897	"Wildtype-like"
"28"	"TCGA-FD-A5C1-01"	"TCGA-BLCA"	0.49	11.8605058703277	FALSE	1	"chr3:2170634-150114622"	147943989	"altered"	"copynumber"	"BLCA_Basal_squamous"	-1758.39755008893	"Wildtype-like"
"29"	"TCGA-DK-AA6X-01"	"TCGA-BLCA"	0.44	11.9357695505469	FALSE	2	"chr3:2170634-80157232"	77986599	"unaltered"	"unaltered"	"BLCA_Luminal_infiltrated"	-1056.87994468897	"Wildtype-like"
"30"	"TCGA-CU-A3YL-01"	"TCGA-BLCA"	0.73	11.5963518298863	FALSE	1	"chr3:42174077-71039097"	28865021	"altered"	"copynumber"	"BLCA_Luminal_papillary"	-1644.22804751251	"Wildtype-like"
"31"	"TCGA-FD-A6TH-01"	"TCGA-BLCA"	0.77	12.5567417545115	FALSE	4	"chr3:30005149-59652761"	29647613	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1700.05367932512	"Wildtype-like"
"32"	"TCGA-BT-A20T-01"	"TCGA-BLCA"	0.75	11.1586774772234	TRUE	1	"chr3:32344243-78685835"	46341593	"altered"	"copynumber"	"BLCA_Luminal_infiltrated"	-1963.63497203309	"Wildtype-like"
"33"	"TCGA-FD-A6TG-01"	"TCGA-BLCA"	0.39	11.4714138153386	TRUE	2	"chr3:50284408-59475123"	9190716	"unaltered"	"unaltered"	"BLCA_Luminal_infiltrated"	-1532.70909071412	"Wildtype-like"
"34"	"TCGA-DK-A6B1-01"	"TCGA-BLCA"	0.83	11.4383589960283	TRUE	3	"chr3:2170634-61798162"	59627529	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-966.670632969077	"Wildtype-like"
"35"	"TCGA-ZF-AA58-01"	"TCGA-BLCA"	0.31	12.5553758020658	FALSE	3	"chr3:46157279-54131922"	7974644	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1372.51114395123	"Wildtype-like"
"36"	"TCGA-CF-A47T-01"	"TCGA-BLCA"	0.94	11.8139479081922	FALSE	2	"chr3:11194316-115963007"	104768692	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1845.71637594744	"Wildtype-like"
"37"	"TCGA-XF-AAMH-01"	"TCGA-BLCA"	0.88	12.1545350070331	FALSE	2	"chr3:2170634-197812401"	195641768	"unaltered"	"unaltered"	"BLCA_Neuronal"	-1533.49687671276	"Wildtype-like"
"38"	"TCGA-BL-A3JM-01"	"TCGA-BLCA"	0.76	11.7480625572378	FALSE	2	"chr3:50875415-72233071"	21357657	"unaltered"	"unaltered"	"BLCA_Neuronal"	-1191.41437897447	"Wildtype-like"
"39"	"TCGA-FD-A6TI-01"	"TCGA-BLCA"	0.5	11.7335846161201	FALSE	6	"chr3:2170634-145828458"	143657825	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1177.42595955508	"Wildtype-like"
"40"	"TCGA-FD-A3SN-01"	"TCGA-BLCA"	0.73	13.0888483148411	FALSE	2	"chr3:52397741-52492820"	95080	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1491.84063544722	"Wildtype-like"
"41"	"TCGA-ZF-AA51-01"	"TCGA-BLCA"	0.5	12.2415998455837	FALSE	5	"chr3:50043613-52557249"	2513637	"unaltered"	"unaltered"	"BLCA_Luminal_infiltrated"	-1493.30986270229	"Wildtype-like"
"42"	"TCGA-GV-A40G-01"	"TCGA-BLCA"	0.73	12.3706315041147	FALSE	4	"chr3:50369913-53201854"	2831942	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1142.19049773735	"Wildtype-like"
"43"	"TCGA-DK-AA6U-01"	"TCGA-BLCA"	0.77	11.9567007372112	FALSE	2	"chr3:38999905-55082152"	16082248	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1243.54358047042	"Wildtype-like"
"44"	"TCGA-DK-A6B2-01"	"TCGA-BLCA"	0.49	11.455935386972	TRUE	3	"chr3:41693201-61487212"	19794012	"unaltered"	"unaltered"	"BLCA_Luminal_infiltrated"	-1151.89424816145	"Wildtype-like"
"45"	"TCGA-CF-A47W-01"	"TCGA-BLCA"	0.94	11.8094863066464	FALSE	2	"chr3:42174077-133292827"	91118751	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1961.60314251476	"Wildtype-like"
"46"	"TCGA-FD-A43U-01"	"TCGA-BLCA"	0.2	12.148372644451	FALSE	4	"chr3:48380284-61895855"	13515572	"unaltered"	"unaltered"	"BLCA_Luminal_infiltrated"	-1358.22174730368	"Wildtype-like"
"47"	"TCGA-FD-A3NA-01"	"TCGA-BLCA"	0.43	11.5571257591082	FALSE	3	"chr3:50661849-58805631"	8143783	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1278.13838193008	"Wildtype-like"
"48"	"TCGA-DK-A3IL-01"	"TCGA-BLCA"	0.74	11.8580921996227	FALSE	3	"chr3:43214861-53304484"	10089624	"unaltered"	"unaltered"	"BLCA_Luminal"	-1452.24431984383	"Wildtype-like"
"49"	"TCGA-XF-A8HC-01"	"TCGA-BLCA"	0.96	12.2661023963413	FALSE	5	"chr3:50940837-53279022"	2338186	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-694.053174930747	"Wildtype-like"
"50"	"TCGA-ZF-AA4T-01"	"TCGA-BLCA"	0.39	12.399649769123	FALSE	7	"chr3:48749256-53490024"	4740769	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-632.297941105135	"Wildtype-like"
"51"	"TCGA-E7-A97P-01"	"TCGA-BLCA"	0.45	12.20928294111	FALSE	2	"chr3:2170634-116100025"	113929392	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1353.63571699472	"Wildtype-like"
"52"	"TCGA-XF-AAMW-01"	"TCGA-BLCA"	0.53	11.9215037003566	FALSE	3	"chr3:34792081-61040294"	26248214	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1543.52416728058	"Wildtype-like"
"53"	"TCGA-E5-A4U1-01"	"TCGA-BLCA"	0.78	12.8021854298969	FALSE	4	"chr3:50694971-62895213"	12200243	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1349.09328448068	"Wildtype-like"
"54"	"TCGA-E7-A8O7-01"	"TCGA-BLCA"	0.84	11.8748024517611	FALSE	2	"chr3:2170634-80569442"	78398809	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1792.83896474248	"Wildtype-like"
"55"	"TCGA-CF-A3MF-01"	"TCGA-BLCA"	0.78	13.1901222725446	FALSE	5	"chr3:50350952-90368798"	40017847	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-1655.04988699078	"Wildtype-like"
"56"	"TCGA-ZF-A9RG-01"	"TCGA-BLCA"	0.24	NA	FALSE	2	"chr3:2170634-61451307"	59280674	"unaltered"	"unaltered"	"BLCA_ND"	NA	NA
"57"	"TCGA-4Z-AA7M-01"	"TCGA-BLCA"	0.6	12.0102473412507	FALSE	4	"chr3:42863657-53625912"	10762256	"unaltered"	"unaltered"	"BLCA_Luminal_papillary"	-768.888259797523	"Wildtype-like"
"58"	"TCGA-GC-A3OO-01"	"TCGA-BLCA"	0.33	12.015308671164	FALSE	3	"chr3:2170634-72116687"	69946054	"unaltered"	"unaltered"	"BLCA_Luminal_infiltrated"	-864.121278593404	"Wildtype-like"
"59"	"TCGA-K4-A4AC-01"	"TCGA-BLCA"	0.32	12.592432783699	FALSE	2	"chr3:31228867-79910744"	48681878	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1651.46407800322	"Wildtype-like"
"60"	"TCGA-GU-A764-01"	"TCGA-BLCA"	0.23	12.0045644350528	FALSE	2	"chr3:31578630-85802914"	54224285	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1296.85640308867	"Wildtype-like"
"61"	"TCGA-G2-AA3B-01"	"TCGA-BLCA"	0.84	11.0044891102414	TRUE	1	"chr3:50943764-53167882"	2224119	"altered"	"copynumber"	"BLCA_Luminal_papillary"	-1758.23953502705	"Wildtype-like"
"62"	"TCGA-BT-A0YX-01"	"TCGA-BLCA"	0.49	12.3361523490499	FALSE	2	"chr3:28759878-91462299"	62702422	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1743.16884354664	"Wildtype-like"
"63"	"TCGA-DK-AA71-01"	"TCGA-BLCA"	0.67	11.7882016363085	FALSE	3	"chr3:2170634-197812401"	195641768	"altered"	"mutation"	"BLCA_Luminal_papillary"	-1666.90913354076	"Wildtype-like"
"64"	"TCGA-DK-A2I2-01"	"TCGA-BLCA"	0.3	11.4472914673355	TRUE	2	"chr3:17416447-73868916"	56452470	"unaltered"	"unaltered"	"BLCA_Basal_squamous"	-1262.47850976513	"Wildtype-like"
