ensembl_id	log2FoldChange	pvalue	padj	symbol	description
ENSG00000000003	-0.175657689	0.069543976	0.181872515	TSPAN6	tetraspanin 6
ENSG00000000005	0.06372159	0.398914588	0.591270979	TNMD	tenomodulin
ENSG00000000419	-0.009793256	0.874213805	0.933329359	DPM1	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
ENSG00000000457	0.037373605	0.605128577	0.76057018	SCYL3	SCY1 like pseudokinase 3
ENSG00000000460	-0.344610098	0.004679464	0.025216468	C1orf112	chromosome 1 open reading frame 112
ENSG00000000938	-0.055601995	0.586048819	0.746761204	FGR	"FGR proto-oncogene, Src family tyrosine kinase"
ENSG00000000971	0.118375655	0.311245036	0.507235301	CFH	complement factor H
ENSG00000001036	-0.038178867	0.663878639	0.801654628	FUCA2	alpha-L-fucosidase 2
ENSG00000001084	-0.401055693	0.000161101	0.001811991	GCLC	glutamate-cysteine ligase catalytic subunit
ENSG00000001167	0.014777262	0.855910232	0.923000072	NFYA	nuclear transcription factor Y subunit alpha
ENSG00000001460	-0.566062816	1.22E-07	4.61E-06	STPG1	sperm tail PG-rich repeat containing 1
ENSG00000001461	-0.114874007	0.183022189	0.356801285	NIPAL3	NIPA like domain containing 3
ENSG00000001497	-0.002532707	0.970759256	0.988620397	LAS1L	LAS1 like ribosome biogenesis factor
ENSG00000001561	-0.024351352	0.822080753	0.902220106	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4
ENSG00000001617	0.006741074	0.938279233	0.970036377	SEMA3F	semaphorin 3F
ENSG00000001626	0.031699528	0.582275963	0.744255002	CFTR	CF transmembrane conductance regulator
ENSG00000001629	0.232313706	0.006396752	0.028217788	ANKIB1	ankyrin repeat and IBR domain containing 1
ENSG00000001630	0.118670829	0.336185818	0.530918104	CYP51A1	cytochrome P450 family 51 subfamily A member 1
ENSG00000001631	0.135469184	0.041010039	0.124994953	KRIT1	KRIT1 ankyrin repeat containing
ENSG00000002016	0.107383321	0.20097463	0.37690548	RAD52	"RAD52 homolog, DNA repair protein"
ENSG00000002330	0.112799763	0.211919837	0.393765841	BAD	BCL2 associated agonist of cell death
ENSG00000002549	0.03042033	0.747826259	0.861426856	LAP3	leucine aminopeptidase 3
ENSG00000002586	-0.233247145	0.010379844	0.045703497	CD99	CD99 molecule (Xg blood group)
ENSG00000002587	0.190814031	0.113333782	0.256176872	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
ENSG00000002745	-1.44079837	3.86E-06	8.62E-05	WNT16	Wnt family member 16
ENSG00000002746	-0.057862503	0.584408851	0.740365772	HECW1	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
ENSG00000002822	1.299431946	2.44E-08	1.17E-06	MAD1L1	mitotic arrest deficient 1 like 1
ENSG00000002834	0.176657361	0.036418239	0.114802101	LASP1	LIM and SH3 protein 1
ENSG00000002919	-0.073078857	0.280929204	0.474126358	SNX11	sorting nexin 11
ENSG00000002933	0.000354894	0.998847517	1	TMEM176A	transmembrane protein 176A
ENSG00000003056	-0.02494537	0.788066503	0.882717368	M6PR	"mannose-6-phosphate receptor, cation dependent"
ENSG00000003096	-0.301207174	0.031102081	0.101515312	KLHL13	kelch like family member 13
ENSG00000003137	0.225119316	0.134322675	0.28819154	CYP26B1	cytochrome P450 family 26 subfamily B member 1
ENSG00000003147	-0.032227251	0.78025442	0.878567334	ICA1	islet cell autoantigen 1
ENSG00000003249	-0.23698872	0.063528726	0.17078446	DBNDD1	dysbindin domain containing 1
ENSG00000003393	0.09453991	0.191318501	0.3676274	ALS2	alsin Rho guanine nucleotide exchange factor ALS2
ENSG00000003400	0.149498914	0.057189802	0.158328875	CASP10	caspase 10
ENSG00000003402	0.301593742	1.96E-06	4.85E-05	CFLAR	CASP8 and FADD like apoptosis regulator
ENSG00000003436	-1.149126858	8.19E-11	8.21E-09	TFPI	tissue factor pathway inhibitor
ENSG00000003509	-0.029851114	0.618526652	0.792801701	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7
ENSG00000003756	-0.365095967	2.13E-08	1.05E-06	RBM5	RNA binding motif protein 5
ENSG00000003987	-0.549044654	0.003050893	0.018277778	MTMR7	myotubularin related protein 7
ENSG00000003989	-0.239115722	0.079667579	0.200649258	SLC7A2	solute carrier family 7 member 2
ENSG00000004059	0.031995203	0.650598545	0.792801701	ARF5	ADP ribosylation factor 5
ENSG00000004139	-0.06567076	0.51755604	0.692629692	SARM1	sterile alpha and TIR motif containing 1
ENSG00000004142	0.022657618	0.740527839	0.854009094	POLDIP2	DNA polymerase delta interacting protein 2
ENSG00000004399	-0.003603707	0.968512953	0.987441031	PLXND1	plexin D1
ENSG00000004455	-0.017841536	0.796995749	0.887178881	AK2	adenylate kinase 2
ENSG00000004468	-0.03829413	0.716820595	0.839193758	CD38	CD38 molecule
ENSG00000004478	0.263002403	0.002639314	0.016328702	FKBP4	FKBP prolyl isomerase 4
ENSG00000004487	-0.141397503	0.022106055	0.080000312	KDM1A	lysine demethylase 1A
ENSG00000004534	-0.354101011	4.68E-06	8.65E-05	RBM6	RNA binding motif protein 6
ENSG00000004660	0.089556332	0.408715651	0.600150174	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004700	-0.111908982	0.298730205	0.493422957	RECQL	RecQ like helicase
ENSG00000004766	0.171392619	0.014681899	0.059194084	VPS50	VPS50 subunit of EARP/GARPII complex
ENSG00000004776	-0.68402602	0.002742397	0.01682248	HSPB6	heat shock protein family B (small) member 6
ENSG00000004777	-0.267551721	0.013323329	0.055161635	ARHGAP33	Rho GTPase activating protein 33
ENSG00000004779	0.250340357	0.003604202	0.020648974	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1
ENSG00000004799	-0.989135749	2.54E-06	6.05E-05	PDK4	pyruvate dehydrogenase kinase 4
ENSG00000004809	-0.174874723	0.142733158	0.300374225	SLC22A16	solute carrier family 22 member 16
ENSG00000004838	-0.212835417	0.082575388	0.203842977	ZMYND10	zinc finger MYND-type containing 10
ENSG00000004846	-0.15795766	0.038777682	0.119875647	ABCB5	ATP binding cassette subfamily B member 5
ENSG00000004864	0.095214477	0.276600444	0.469315803	SLC25A13	solute carrier family 25 member 13
ENSG00000004866	-0.080951095	0.342996389	0.48499317	ST7	suppression of tumorigenicity 7
ENSG00000004897	0.005987244	0.918991671	0.959266503	CDC27	cell division cycle 27
ENSG00000004948	-0.189035536	0.08023352	0.201670093	CALCR	calcitonin receptor
ENSG00000004961	0.060156251	0.371231253	0.566002919	HCCS	holocytochrome c synthase
ENSG00000004975	-0.10731246	0.157797697	0.322689241	DVL2	dishevelled segment polarity protein 2
ENSG00000005001	-0.100175648	0.171923101	0.342039654	PRSS22	serine protease 22
ENSG00000005007	0.20492134	0.001340371	0.009680866	UPF1	UPF1 RNA helicase and ATPase
ENSG00000005020	-0.369472224	0.002454918	0.015371265	SKAP2	src kinase associated phosphoprotein 2
ENSG00000005022	0.274626642	0.001956458	0.012887107	SLC25A5	solute carrier family 25 member 5
ENSG00000005059	0.286698024	0.032288951	0.104362757	MCUB	mitochondrial calcium uniporter dominant negative subunit beta
ENSG00000005073	-0.101986028	0.276776092	0.469547038	HOXA11	homeobox A11
ENSG00000005075	0.103315762	0.285987835	0.479379272	POLR2J	RNA polymerase II subunit J
ENSG00000005100	0.007557354	0.911819593	0.955567857	DHX33	DEAH-box helicase 33
ENSG00000005102	-0.176291708	0.159381478	0.324919205	MEOX1	mesenchyme homeobox 1
ENSG00000005108	-0.161389804	0.186332097	0.361070466	THSD7A	thrombospondin type 1 domain containing 7A
ENSG00000005156	0.100580307	0.154385069	0.318021778	LIG3	DNA ligase 3
ENSG00000005175	0.036115459	0.521282862	0.695821617	RPAP3	RNA polymerase II associated protein 3
ENSG00000005187	-0.672786221	0.000218537	0.002291859	ACSM3	acyl-CoA synthetase medium chain family member 3
ENSG00000005189	-0.392362148	0.001007643	0.007741817	REXO5	RNA exonuclease 5
ENSG00000005194	0.309522843	2.95E-05	0.000467111	CIAPIN1	cytokine induced apoptosis inhibitor 1
