"tcga_id"	"cohort"	"purity"	"log2_bap1"	"copynumber_absolute_bap1"	"bap1_segment_location"	"bap1_segment_width"
"TCGA-DK-A2I6-01"	"TCGA-BLCA"	0.54	12.655563489758	7	"chr3:50621081-52977765"	2356685
"TCGA-FD-A6TK-01"	"TCGA-BLCA"	0.22	11.833539126958	3	"chr3:2170634-52742648"	50572015
"TCGA-UY-A78L-01"	"TCGA-BLCA"	0.49	12.0949643167319	3	"chr3:38729973-53741420"	15011448
"TCGA-4Z-AA84-01"	"TCGA-BLCA"	0.43	11.3630059641401	5	"chr3:39170971-62088871"	22917901
"TCGA-XF-A9SK-01"	"TCGA-BLCA"	0.47	12.182327720759	2	"chr3:27101230-62674891"	35573662
"TCGA-YF-AA3M-01"	"TCGA-BLCA"	0.68	12.0049793426137	4	"chr3:51018869-53959345"	2940477
"TCGA-G2-A3IE-01"	"TCGA-BLCA"	0.69	12.6358788766813	3	"chr3:39583651-59720118"	20136468
"TCGA-ZF-A9RL-01"	"TCGA-BLCA"	0.85	12.0637999700816	5	"chr3:20526745-59715704"	39188960
"TCGA-HQ-A2OE-01"	"TCGA-BLCA"	0.8	10.9776305426359	2	"chr3:51288536-53384771"	2096236
"TCGA-DK-AA74-01"	"TCGA-BLCA"	0.21	12.4384196421866	2	"chr3:25704534-57074217"	31369684
"TCGA-H4-A2HO-01"	"TCGA-BLCA"	0.63	11.4980328496198	2	"chr3:49108427-53628591"	4520165
"TCGA-ZF-AA53-01"	"TCGA-BLCA"	0.22	12.1201719609167	4	"chr3:52340022-54855017"	2514996
"TCGA-HQ-A5ND-01"	"TCGA-BLCA"	0.63	11.2326217532543	2	"chr3:42210883-53766195"	11555313
"TCGA-FD-A6TC-01"	"TCGA-BLCA"	0.57	12.0008252782826	3	"chr3:42515694-80820470"	38304777
"TCGA-DK-A6AW-01"	"TCGA-BLCA"	0.93	NA	2	"chr3:2170634-127226767"	125056134
"TCGA-GV-A3JV-01"	"TCGA-BLCA"	0.66	12.2400678626046	4	"chr3:50330306-61158895"	10828590
"TCGA-XF-A8HH-01"	"TCGA-BLCA"	0.43	11.4699944535992	5	"chr3:43781249-54160687"	10379439
"TCGA-DK-A2I1-01"	"TCGA-BLCA"	0.58	11.2957217184209	3	"chr3:47529076-52561401"	5032326
"TCGA-ZF-AA5H-01"	"TCGA-BLCA"	0.58	11.6564100337743	2	"chr3:42515707-53619843"	11104137
"TCGA-E7-A7PW-01"	"TCGA-BLCA"	0.84	12.1513602002338	4	"chr3:34288035-84706703"	50418669
"TCGA-PQ-A6FI-01"	"TCGA-BLCA"	0.75	12.3054911914201	2	"chr3:40511632-53553817"	13042186
"TCGA-C4-A0EZ-01"	"TCGA-BLCA"	0.93	11.9479669506328	3	"chr3:36147481-58758496"	22611016
"TCGA-FD-A62S-01"	"TCGA-BLCA"	0.36	12.33181108697	2	"chr3:2170634-94059033"	91888400
"TCGA-FD-A5C0-01"	"TCGA-BLCA"	0.58	12.9585403467648	4	"chr3:46547183-53379396"	6832214
"TCGA-GU-A42R-01"	"TCGA-BLCA"	0.78	10.8671632443079	1	"chr3:47295025-59720118"	12425094
"TCGA-UY-A78M-01"	"TCGA-BLCA"	0.69	11.6795239018485	2	"chr3:44653014-54232204"	9579191
"TCGA-GV-A3QI-01"	"TCGA-BLCA"	0.95	11.2683078981656	3	"chr3:46665706-68363298"	21697593
"TCGA-FD-A5C1-01"	"TCGA-BLCA"	0.49	11.8605058703277	1	"chr3:2170634-150114622"	147943989
"TCGA-DK-AA6X-01"	"TCGA-BLCA"	0.44	11.9357695505469	2	"chr3:2170634-80157232"	77986599
"TCGA-CU-A3YL-01"	"TCGA-BLCA"	0.73	11.5963518298863	1	"chr3:42174077-71039097"	28865021
"TCGA-FD-A6TH-01"	"TCGA-BLCA"	0.77	12.5567417545115	4	"chr3:30005149-59652761"	29647613
"TCGA-BT-A20T-01"	"TCGA-BLCA"	0.75	11.1586774772234	1	"chr3:32344243-78685835"	46341593
"TCGA-FD-A6TG-01"	"TCGA-BLCA"	0.39	11.4714138153386	2	"chr3:50284408-59475123"	9190716
"TCGA-DK-A6B1-01"	"TCGA-BLCA"	0.83	11.4383589960283	3	"chr3:2170634-61798162"	59627529
"TCGA-ZF-AA58-01"	"TCGA-BLCA"	0.31	12.5553758020658	3	"chr3:46157279-54131922"	7974644
"TCGA-CF-A47T-01"	"TCGA-BLCA"	0.94	11.8139479081922	2	"chr3:11194316-115963007"	104768692
"TCGA-XF-AAMH-01"	"TCGA-BLCA"	0.88	12.1545350070331	2	"chr3:2170634-197812401"	195641768
"TCGA-BL-A3JM-01"	"TCGA-BLCA"	0.76	11.7480625572378	2	"chr3:50875415-72233071"	21357657
"TCGA-FD-A6TI-01"	"TCGA-BLCA"	0.5	11.7335846161201	6	"chr3:2170634-145828458"	143657825
"TCGA-FD-A3SN-01"	"TCGA-BLCA"	0.73	13.0888483148411	2	"chr3:52397741-52492820"	95080
"TCGA-ZF-AA51-01"	"TCGA-BLCA"	0.5	12.2415998455837	5	"chr3:50043613-52557249"	2513637
"TCGA-GV-A40G-01"	"TCGA-BLCA"	0.73	12.3706315041147	4	"chr3:50369913-53201854"	2831942
"TCGA-DK-AA6U-01"	"TCGA-BLCA"	0.77	11.9567007372112	2	"chr3:38999905-55082152"	16082248
"TCGA-DK-A6B2-01"	"TCGA-BLCA"	0.49	11.455935386972	3	"chr3:41693201-61487212"	19794012
"TCGA-CF-A47W-01"	"TCGA-BLCA"	0.94	11.8094863066464	2	"chr3:42174077-133292827"	91118751
"TCGA-FD-A43U-01"	"TCGA-BLCA"	0.2	12.148372644451	4	"chr3:48380284-61895855"	13515572
"TCGA-FD-A3NA-01"	"TCGA-BLCA"	0.43	11.5571257591082	3	"chr3:50661849-58805631"	8143783
"TCGA-DK-A3IL-01"	"TCGA-BLCA"	0.74	11.8580921996227	3	"chr3:43214861-53304484"	10089624
"TCGA-XF-A8HC-01"	"TCGA-BLCA"	0.96	12.2661023963413	5	"chr3:50940837-53279022"	2338186
"TCGA-ZF-AA4T-01"	"TCGA-BLCA"	0.39	12.399649769123	7	"chr3:48749256-53490024"	4740769
"TCGA-E7-A97P-01"	"TCGA-BLCA"	0.45	12.20928294111	2	"chr3:2170634-116100025"	113929392
"TCGA-XF-AAMW-01"	"TCGA-BLCA"	0.53	11.9215037003566	3	"chr3:34792081-61040294"	26248214
"TCGA-E5-A4U1-01"	"TCGA-BLCA"	0.78	12.8021854298969	4	"chr3:50694971-62895213"	12200243
"TCGA-E7-A8O7-01"	"TCGA-BLCA"	0.84	11.8748024517611	2	"chr3:2170634-80569442"	78398809
"TCGA-CF-A3MF-01"	"TCGA-BLCA"	0.78	13.1901222725446	5	"chr3:50350952-90368798"	40017847
"TCGA-ZF-A9RG-01"	"TCGA-BLCA"	0.24	NA	2	"chr3:2170634-61451307"	59280674
"TCGA-4Z-AA7M-01"	"TCGA-BLCA"	0.6	12.0102473412507	4	"chr3:42863657-53625912"	10762256
"TCGA-GC-A3OO-01"	"TCGA-BLCA"	0.33	12.015308671164	3	"chr3:2170634-72116687"	69946054
"TCGA-K4-A4AC-01"	"TCGA-BLCA"	0.32	12.592432783699	2	"chr3:31228867-79910744"	48681878
"TCGA-GU-A764-01"	"TCGA-BLCA"	0.23	12.0045644350528	2	"chr3:31578630-85802914"	54224285
"TCGA-G2-AA3B-01"	"TCGA-BLCA"	0.84	11.0044891102414	1	"chr3:50943764-53167882"	2224119
"TCGA-BT-A0YX-01"	"TCGA-BLCA"	0.49	12.3361523490499	2	"chr3:28759878-91462299"	62702422
"TCGA-DK-AA71-01"	"TCGA-BLCA"	0.67	11.7882016363085	3	"chr3:2170634-197812401"	195641768
"TCGA-DK-A2I2-01"	"TCGA-BLCA"	0.3	11.4472914673355	2	"chr3:17416447-73868916"	56452470
"TCGA-XF-AAN3-01"	"TCGA-BLCA"	0.29	11.3967960563303	1	"chr3:2170634-91462299"	89291666
"TCGA-ZF-AA5P-01"	"TCGA-BLCA"	NA	11.8014485646612	NA	"chr3:35740270-61041404"	25301135
"TCGA-BT-A20V-01"	"TCGA-BLCA"	0.66	12.2460270786773	2	"chr3:45343141-53498728"	8155588
"TCGA-CF-A7I0-01"	"TCGA-BLCA"	0.68	12.1081109403272	2	"chr3:2170634-80107010"	77936377
"TCGA-2F-A9KQ-01"	"TCGA-BLCA"	0.96	11.312216845763	2	"chr3:46706963-53301715"	6594753
"TCGA-ZF-A9RE-01"	"TCGA-BLCA"	0.76	11.917020946037	2	"chr3:2170634-54212271"	52041638
"TCGA-E7-A7XN-01"	"TCGA-BLCA"	0.32	12.3160989774059	2	"chr3:2170634-197812401"	195641768
"TCGA-G2-A2EC-01"	"TCGA-BLCA"	NA	11.8264039033911	NA	"chr3:46729956-107663175"	60933220
"TCGA-E7-A678-01"	"TCGA-BLCA"	0.92	11.8608393863747	2	"chr3:2170634-196023871"	193853238
"TCGA-G2-A2EF-01"	"TCGA-BLCA"	0.61	11.5135764207349	2	"chr3:49017246-58059811"	9042566
"TCGA-GD-A3OS-01"	"TCGA-BLCA"	0.72	12.2051160221034	2	"chr3:45073253-69547057"	24473805
"TCGA-DK-A3WW-01"	"TCGA-BLCA"	0.5	12.0347163846008	2	"chr3:2170634-145887787"	143717154
"TCGA-GD-A3OQ-01"	"TCGA-BLCA"	0.78	12.0435702644766	2	"chr3:22422637-71908609"	49485973
"TCGA-FD-A3SQ-01"	"TCGA-BLCA"	0.5	11.8393065432996	2	"chr3:2170634-197812401"	195641768
"TCGA-G2-A2EL-01"	"TCGA-BLCA"	0.98	11.066482178004	1	"chr3:46907540-53514902"	6607363
"TCGA-XF-A9T8-01"	"TCGA-BLCA"	0.44	11.8711151996564	2	"chr3:2170634-61040679"	58870046
"TCGA-GD-A3OP-01"	"TCGA-BLCA"	0.24	11.9391445875142	4	"chr3:2170634-86035233"	83864600
"TCGA-XF-AAML-01"	"TCGA-BLCA"	0.74	12.4196122422853	4	"chr3:12574081-76945353"	64371273
"TCGA-4Z-AA82-01"	"TCGA-BLCA"	0.58	11.344514188558	2	"chr3:12097266-65427378"	53330113
"TCGA-K4-A5RI-01"	"TCGA-BLCA"	0.71	11.493693353699	1	"chr3:2170634-85636949"	83466316
"TCGA-XF-A9ST-01"	"TCGA-BLCA"	0.87	12.3179866997874	3	"chr3:50501788-52704149"	2202362
"TCGA-GV-A3QH-01"	"TCGA-BLCA"	0.48	12.2188945631171	6	"chr3:46401695-52627026"	6225332
"TCGA-4Z-AA81-01"	"TCGA-BLCA"	0.55	11.4554774578517	3	"chr3:12450038-59569102"	47119065
"TCGA-FD-A3B6-01"	"TCGA-BLCA"	0.42	11.739075938835	2	"chr3:46240253-74231178"	27990926
"TCGA-DK-A1AC-01"	"TCGA-BLCA"	0.69	11.0580842799884	3	"chr3:35440410-72769751"	37329342
"TCGA-ZF-A9R4-01"	"TCGA-BLCA"	0.91	12.0611309123693	4	"chr3:45552477-52457431"	6904955
"TCGA-K4-AAQO-01"	"TCGA-BLCA"	0.33	11.2958232638186	4	"chr3:50001870-78214178"	28212309
"TCGA-FD-A6TB-01"	"TCGA-BLCA"	0.28	12.4772908711161	2	"chr3:2170634-197812401"	195641768
"TCGA-XF-AAMG-01"	"TCGA-BLCA"	0.75	11.1196497152869	2	"chr3:49044217-63073436"	14029220
"TCGA-CF-A1HR-01"	"TCGA-BLCA"	0.4	12.4730041521561	6	"chr3:34504111-53503488"	18999378
"TCGA-CF-A3MG-01"	"TCGA-BLCA"	0.8	12.0135548076598	4	"chr3:2170634-73721245"	71550612
"TCGA-LC-A66R-01"	"TCGA-BLCA"	0.37	11.6836968588083	2	"chr3:14389961-61081314"	46691354
"TCGA-GU-AATP-01"	"TCGA-BLCA"	0.65	11.7252146706633	3	"chr3:51669593-55413052"	3743460
"TCGA-2F-A9KW-01"	"TCGA-BLCA"	0.58	12.0371234598182	4	"chr3:48946000-52784446"	3838447
"TCGA-UY-A9PF-01"	"TCGA-BLCA"	0.37	11.3957921376022	4	"chr3:2170634-127700275"	125529642
"TCGA-FD-A43N-01"	"TCGA-BLCA"	0.5	11.4841561042169	6	"chr3:50913796-61097926"	10184131
"TCGA-GV-A3JW-01"	"TCGA-BLCA"	0.84	11.4610080108121	2	"chr3:37391315-59720118"	22328804
"TCGA-DK-A1A7-01"	"TCGA-BLCA"	0.74	11.360578338767	3	"chr3:50800518-53476670"	2676153
"TCGA-E7-A7DV-01"	"TCGA-BLCA"	0.35	11.8634795463678	2	"chr3:35110668-76740238"	41629571
"TCGA-DK-A3IK-01"	"TCGA-BLCA"	0.5	11.3743968347816	3	"chr3:50187596-53899849"	3712254
"TCGA-C4-A0F0-01"	"TCGA-BLCA"	0.39	11.6929582350252	5	"chr3:39025432-61040294"	22014863
"TCGA-DK-A3X2-01"	"TCGA-BLCA"	0.92	11.7566965744126	4	"chr3:50538195-86674475"	36136281
"TCGA-E5-A2PC-01"	"TCGA-BLCA"	0.79	12.0666126621838	3	"chr3:12026850-59720118"	47693269
"TCGA-BT-A20Q-01"	"TCGA-BLCA"	0.68	11.618139194603	2	"chr3:2170634-102861957"	100691324
"TCGA-DK-A3IM-01"	"TCGA-BLCA"	0.83	11.7059236981719	2	"chr3:51293378-53317944"	2024567
"TCGA-FD-A43P-01"	"TCGA-BLCA"	0.42	11.7870002772409	3	"chr3:39832114-73869857"	34037744
"TCGA-SY-A9G0-01"	"TCGA-BLCA"	0.17	11.8084297592603	4	"chr3:2170634-197812401"	195641768
"TCGA-XF-A9SU-01"	"TCGA-BLCA"	0.26	11.5767955318629	3	"chr3:45185481-57874537"	12689057
"TCGA-UY-A78O-01"	"TCGA-BLCA"	0.76	10.6732425661598	2	"chr3:52223619-52917486"	693868
"TCGA-CF-A8HX-01"	"TCGA-BLCA"	0.95	11.4070808142669	1	"chr3:50001870-52759837"	2757968
"TCGA-FD-A3SL-01"	"TCGA-BLCA"	0.42	11.2639159269302	4	"chr3:45579074-53480098"	7901025
"TCGA-4Z-AA87-01"	"TCGA-BLCA"	0.61	11.090794008212	3	"chr3:49573409-59684919"	10111511
"TCGA-DK-AA6S-01"	"TCGA-BLCA"	0.68	12.3990925872448	2	"chr3:46460279-53233179"	6772901
"TCGA-UY-A9PA-01"	"TCGA-BLCA"	0.18	11.8057270262753	2	"chr3:2170634-55506937"	53336304
"TCGA-FD-A3B5-01"	"TCGA-BLCA"	0.52	12.2504859694288	6	"chr3:45658140-52670685"	7012546
"TCGA-FD-A62O-01"	"TCGA-BLCA"	0.85	11.6836894987726	4	"chr3:2170634-107995784"	105825151
"TCGA-FD-A3SM-01"	"TCGA-BLCA"	0.69	11.7842601007196	2	"chr3:14459236-76650267"	62191032
"TCGA-GV-A3QF-01"	"TCGA-BLCA"	0.54	12.1350769525211	4	"chr3:50259429-55415601"	5156173
"TCGA-DK-A1AE-01"	"TCGA-BLCA"	0.83	12.2127799987851	2	"chr3:23838371-61066970"	37228600
"TCGA-4Z-AA7Y-01"	"TCGA-BLCA"	0.94	12.0804567623247	2	"chr3:37730503-59308581"	21578079
"TCGA-CU-A0YO-01"	"TCGA-BLCA"	0.33	11.3605900976894	1	"chr3:45593386-58190462"	12597077
"TCGA-FD-A3B3-01"	"TCGA-BLCA"	0.21	12.2793957284081	2	"chr3:39224630-98596712"	59372083
"TCGA-CF-A5U8-01"	"TCGA-BLCA"	0.97	11.7757617095274	2	"chr3:36274311-197812401"	161538091
"TCGA-GC-A3YS-01"	"TCGA-BLCA"	0.48	11.8886287145598	3	"chr3:2170634-75879414"	73708781
"TCGA-BT-A20W-01"	"TCGA-BLCA"	0.72	11.5649574812213	2	"chr3:47241627-52421208"	5179582
"TCGA-DK-AA6P-01"	"TCGA-BLCA"	0.83	11.2269984812073	5	"chr3:45552630-53155454"	7602825
"TCGA-ZF-A9RC-01"	"TCGA-BLCA"	0.2	12.3432060920112	7	"chr3:52096069-53673835"	1577767
"TCGA-FD-A5BV-01"	"TCGA-BLCA"	0.89	11.0363522782802	1	"chr3:39822643-87752455"	47929813
"TCGA-5N-A9KI-01"	"TCGA-BLCA"	0.58	12.1761869604838	4	"chr3:40402037-62095612"	21693576
"TCGA-FD-A43X-01"	"TCGA-BLCA"	0.94	12.1833007045764	4	"chr3:41096181-54043307"	12947127
"TCGA-C4-A0F6-01"	"TCGA-BLCA"	0.68	11.7206051334997	3	"chr3:4696861-67456549"	62759689
"TCGA-E7-A5KE-01"	"TCGA-BLCA"	0.92	12.344730866453	5	"chr3:52373535-52472887"	99353
"TCGA-XF-A9SL-01"	"TCGA-BLCA"	NA	11.9744957927493	NA	"chr3:2170634-197812401"	195641768
"TCGA-K4-A54R-01"	"TCGA-BLCA"	0.46	11.0157377360131	4	"chr3:45494192-53605386"	8111195
"TCGA-XF-AAN1-01"	"TCGA-BLCA"	0.91	12.0722986060832	2	"chr3:12977485-76383835"	63406351
"TCGA-FD-A3B8-01"	"TCGA-BLCA"	NA	11.8679510485297	NA	"chr3:14459236-94038851"	79579616
"TCGA-GC-A6I1-01"	"TCGA-BLCA"	0.31	12.0443829033214	3	"chr3:50040095-74302910"	24262816
"TCGA-BL-A13J-01"	"TCGA-BLCA"	0.56	10.2520935565496	4	"chr3:37620483-63514475"	25893993
"TCGA-DK-A1AA-01"	"TCGA-BLCA"	0.93	11.7691253845311	2	"chr3:2170634-191772653"	189602020
"TCGA-UY-A78N-01"	"TCGA-BLCA"	0.78	12.0039227014994	4	"chr3:38999905-59026451"	20026547
"TCGA-DK-A3IT-01"	"TCGA-BLCA"	0.46	11.8184623270865	4	"chr3:30966630-59085731"	28119102
"TCGA-ZF-AA4U-01"	"TCGA-BLCA"	0.88	12.1274806093482	4	"chr3:50523496-53060285"	2536790
"TCGA-UY-A8OC-01"	"TCGA-BLCA"	0.55	12.0421874820651	2	"chr3:38102860-70294303"	32191444
"TCGA-K4-A5RJ-01"	"TCGA-BLCA"	0.33	12.452391469882	3	"chr3:2170634-54291329"	52120696
"TCGA-ZF-A9R0-01"	"TCGA-BLCA"	0.51	11.5582483775685	4	"chr3:46247321-53238298"	6990978
"TCGA-DK-A2I4-01"	"TCGA-BLCA"	0.29	11.7644094691421	3	"chr3:16819686-56992816"	40173131
"TCGA-FD-A6TE-01"	"TCGA-BLCA"	0.82	11.5938471278093	4	"chr3:50231204-54094450"	3863247
"TCGA-E7-A5KF-01"	"TCGA-BLCA"	0.98	11.7993852116988	2	"chr3:2170634-197812401"	195641768
"TCGA-GD-A2C5-01"	"TCGA-BLCA"	1	11.5131214020356	5	"chr3:46411372-53414133"	7002762
"TCGA-G2-A2EK-01"	"TCGA-BLCA"	0.54	11.3364297495534	2	"chr3:2170634-62101706"	59931073
"TCGA-DK-AA6R-01"	"TCGA-BLCA"	0.58	11.7419387981953	2	"chr3:31130594-58092834"	26962241
"TCGA-4Z-AA80-01"	"TCGA-BLCA"	0.47	11.2472684254962	4	"chr3:50614187-54044342"	3430156
"TCGA-UY-A78K-01"	"TCGA-BLCA"	0.27	12.2277752245597	7	"chr3:24020722-59592613"	35571892
"TCGA-XF-A9T0-01"	"TCGA-BLCA"	0.76	10.7306092806545	3	"chr3:48977759-56771204"	7793446
"TCGA-XF-A9T3-01"	"TCGA-BLCA"	0.41	12.259081701535	3	"chr3:2170634-53670976"	51500343
"TCGA-FD-A3SP-01"	"TCGA-BLCA"	0.32	12.3038195598788	2	"chr3:21690594-61057760"	39367167
