"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"symbol"	"description"
"ENSG00000000003"	5086.95690799403	0.163722027133624	0.167283525274232	0.291326483897531	0.453642646803894	"TSPAN6"	"tetraspanin 6"
"ENSG00000000005"	3.16460325749537	-0.644587970972136	0.655200866419079	0.035521506104166	0.0989030447027003	"TNMD"	"tenomodulin"
"ENSG00000000419"	1261.35362934653	0.00707050866078029	0.101848775510407	0.943444915439867	0.966548524228111	"DPM1"	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"ENSG00000000457"	566.486092658894	0.085959706402017	0.115963058300118	0.457067069203349	0.61546480521839	"SCYL3"	"SCY1 like pseudokinase 3"
"ENSG00000000460"	281.657906656529	-0.791864574754847	0.24575090033602	0.000170638747610796	0.00147797682056997	"C1orf112"	"chromosome 1 open reading frame 112"
"ENSG00000000938"	233.093194159599	-0.328873171511663	0.195183943629689	0.0536475254898397	0.134408390033448	"FGR"	"FGR proto-oncogene, Src family tyrosine kinase"
"ENSG00000000971"	61612.6523446883	-0.115566368290352	0.209746219295666	0.551511601014246	0.694051667467856	"CFH"	"complement factor H"
"ENSG00000001036"	2978.93937961328	-0.0906729302530822	0.15346351519548	0.534755975717335	0.681365417204165	"FUCA2"	"alpha-L-fucosidase 2"
"ENSG00000001084"	4285.43171976148	-0.63358876072422	0.184509543253659	0.000176071024939416	0.00151131837740081	"GCLC"	"glutamate-cysteine ligase catalytic subunit"
"ENSG00000001167"	937.676698780144	0.250108724188516	0.137354810553881	0.0834205371682137	0.185945964236197	"NFYA"	"nuclear transcription factor Y subunit alpha"
"ENSG00000001460"	190.944557450357	-0.693962518252737	0.186462096431781	2.5481689254771e-05	0.000308568541006102	"STPG1"	"sperm tail PG-rich repeat containing 1"
"ENSG00000001461"	471.993218801264	0.14289978324835	0.13920879978685	0.23561270456556	0.39215193496276	"NIPAL3"	"NIPA like domain containing 3"
"ENSG00000001497"	2108.775001594	0.010909413384582	0.115299628847238	0.920845449377521	0.953432218214591	"LAS1L"	"LAS1 like ribosome biogenesis factor"
"ENSG00000001561"	805.38279209908	-0.447411259237311	0.241242501715713	0.0254267516167124	0.0767513183021384	"ENPP4"	"ectonucleotide pyrophosphatase/phosphodiesterase 4"
"ENSG00000001617"	1015.05239748936	-0.00825689877972912	0.143218778433005	0.929307507696121	0.958085338737517	"SEMA3F"	"semaphorin 3F"
"ENSG00000001626"	636.379434067128	0.257321025355619	0.538538304827979	0.000400299168286439	0.00292546142947214	"CFTR"	"CF transmembrane conductance regulator"
"ENSG00000001629"	1027.61895780678	0.227195789074507	0.141988412905212	0.0791728501514321	0.179025879427466	"ANKIB1"	"ankyrin repeat and IBR domain containing 1"
"ENSG00000001630"	204.077028085599	0.107611777958055	0.276978664602929	0.626620754624161	0.754862798898148	"CYP51A1"	"cytochrome P450 family 51 subfamily A member 1"
"ENSG00000001631"	186.388113764974	0.0844834484150648	0.093722548338411	0.352696362243185	0.517693235772105	"KRIT1"	"KRIT1 ankyrin repeat containing"
"ENSG00000002016"	241.917729387371	0.328807112791947	0.128385124263591	0.0122669221973891	0.0437306375741491	"RAD52"	"RAD52 homolog, DNA repair protein"
"ENSG00000002330"	485.793016504807	0.357934990434706	0.156327549507011	0.0174867815519902	0.0574497012395237	"BAD"	"BCL2 associated agonist of cell death"
"ENSG00000002549"	5771.82514189752	-0.411888282109598	0.19211377688679	0.014969517524478	0.0510167303828232	"LAP3"	"leucine aminopeptidase 3"
"ENSG00000002586"	8757.48470714437	-0.200532661373627	0.138798087552504	0.127081602543029	0.252106365066959	"CD99"	"CD99 molecule (Xg blood group)"
"ENSG00000002587"	92.9436496712344	0.185090671661016	0.231094063514228	0.328969795533048	0.49313664705357	"HS3ST1"	"heparan sulfate-glucosamine 3-sulfotransferase 1"
"ENSG00000002726"	130.46856746546	-2.59053971388713	0.644677377561511	2.32885586347214e-07	5.95390059469926e-06	"AOC1"	"amine oxidase copper containing 1"
"ENSG00000002745"	4.36587430305465	-1.60686395775472	0.592182346491244	0.000214698470573183	0.00177829252965397	"WNT16"	"Wnt family member 16"
"ENSG00000002746"	28.0273890586297	-0.449818189109716	0.440638815926714	0.0850173993591831	0.188406786054407	"HECW1"	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"ENSG00000002822"	33.7407877250587	1.34735681534323	0.373012655126087	0.000104773305280214	0.000989921379216691	"MAD1L1"	"mitotic arrest deficient 1 like 1"
"ENSG00000002834"	9674.02811423658	0.429204458106643	0.138678229812091	0.00145386046980488	0.00827060463355921	"LASP1"	"LIM and SH3 protein 1"
"ENSG00000002919"	962.138937470494	-0.124802441835778	0.107047654022874	0.231026744128938	0.38667296538707	"SNX11"	"sorting nexin 11"
"ENSG00000002933"	37600.8431001208	-0.318493880776293	0.211072658165431	0.0935301809206966	0.202183527285977	"TMEM176A"	"transmembrane protein 176A"
"ENSG00000003056"	1239.53100590558	0.0795519908796175	0.17630588635448	0.816661294477504	0.889077359529547	"M6PR"	"mannose-6-phosphate receptor, cation dependent"
"ENSG00000003096"	249.214320178591	-0.960080798581784	0.326790920166615	0.000388544454600132	0.00286394284389811	"KLHL13"	"kelch like family member 13"
"ENSG00000003137"	139.983748474647	0.981847096955733	0.440195139941456	0.00610059135977926	0.025447556548208	"CYP26B1"	"cytochrome P450 family 26 subfamily B member 1"
"ENSG00000003147"	634.225457991957	-0.124685358984135	0.272455041017213	0.548399773373699	0.691655578680151	"ICA1"	"islet cell autoantigen 1"
"ENSG00000003249"	1752.27211572456	-1.03129552180082	0.391457693081177	5.20054122854864e-05	0.000556668968564426	"DBNDD1"	"dysbindin domain containing 1"
"ENSG00000003393"	1362.51370207398	0.228535156763458	0.116522057548648	0.0483241293205587	0.124355688155736	"ALS2"	"alsin Rho guanine nucleotide exchange factor ALS2"
"ENSG00000003400"	608.794762838347	0.0270548021935652	0.123901632471346	0.912226038333465	0.948578352508218	"CASP10"	"caspase 10"
"ENSG00000003402"	3008.87550844106	0.284396814155157	0.0931342994241135	0.00125805892404456	0.00737616887916631	"CFLAR"	"CASP8 and FADD like apoptosis regulator"
"ENSG00000003436"	12335.3174981534	-2.08952715585349	0.248534608295928	2.59603657422889e-17	1.14917885685866e-14	"TFPI"	"tissue factor pathway inhibitor"
"ENSG00000003509"	513.80960248812	-0.183545362769168	0.0965382377047984	0.0466020769939252	0.121018582125235	"NDUFAF7"	"NADH:ubiquinone oxidoreductase complex assembly factor 7"
"ENSG00000003756"	1477.10725506602	-0.315727989921678	0.0885009125837911	0.000310412395998985	0.00238448607546126	"RBM5"	"RNA binding motif protein 5"
"ENSG00000003987"	176.037601798073	-1.74730954705724	0.450781059188281	3.23802483829277e-06	5.56446770198061e-05	"MTMR7"	"myotubularin related protein 7"
"ENSG00000003989"	8445.34465202766	0.0622398843454568	0.247790415506177	0.773325353229533	0.859314301022627	"SLC7A2"	"solute carrier family 7 member 2"
"ENSG00000004059"	3235.80691207416	0.366866277857931	0.118972944938576	0.000955347125210856	0.00591162766788514	"ARF5"	"ADP ribosylation factor 5"
"ENSG00000004139"	113.758227199821	-0.278749637279844	0.223741808758537	0.131141980417067	0.257937676841853	"SARM1"	"sterile alpha and TIR motif containing 1"
"ENSG00000004142"	10399.3981113518	-0.0962535508708963	0.104736957851105	0.343808815462851	0.508566001428202	"POLDIP2"	"DNA polymerase delta interacting protein 2"
"ENSG00000004399"	3883.86214974535	0.377760952367769	0.156557486202059	0.0126907540051762	0.044948849272445	"PLXND1"	"plexin D1"
"ENSG00000004455"	5239.37439716803	-0.0832479926769362	0.119507724768394	0.450095565460923	0.609510786130631	"AK2"	"adenylate kinase 2"
"ENSG00000004468"	241.431176031851	-1.30587533784845	0.399808920886997	3.92580068558209e-05	0.00044202703527157	"CD38"	"CD38 molecule"
"ENSG00000004478"	4334.30461906609	0.636082704533898	0.143606297848785	3.38205293221691e-06	5.78287505663183e-05	"FKBP4"	"FKBP prolyl isomerase 4"
"ENSG00000004487"	1794.45612818781	-0.0773563017451181	0.0951832973475642	0.406449113316347	0.568871690656008	"KDM1A"	"lysine demethylase 1A"
"ENSG00000004534"	2002.62435614049	-0.313708404495367	0.107499657674112	0.00270533657181734	0.0135715352387664	"RBM6"	"RNA binding motif protein 6"
"ENSG00000004660"	90.9498083028735	0.248551001364361	0.209035661721473	0.181668610767593	0.326694606676511	"CAMKK1"	"calcium/calmodulin dependent protein kinase kinase 1"
"ENSG00000004700"	387.089819711804	-0.412919806722341	0.224854376990771	0.0268811954208141	0.0801307015013269	"RECQL"	"RecQ like helicase"
"ENSG00000004766"	634.945517896954	0.142891870423967	0.108209752898503	0.168902558868768	0.310381824046666	"VPS50"	"VPS50 subunit of EARP/GARPII complex"
"ENSG00000004776"	304.184207224799	-0.358155140023726	0.42251265362775	0.146617234721297	0.279841774095966	"HSPB6"	"heat shock protein family B (small) member 6"
"ENSG00000004777"	263.100603317384	-0.343259574399028	0.190845012793432	0.0391565508822878	0.106399703568285	"ARHGAP33"	"Rho GTPase activating protein 33"
"ENSG00000004779"	2814.42499508824	0.509110012324816	0.153647069895079	0.000394161527142259	0.00289285758207202	"NDUFAB1"	"NADH:ubiquinone oxidoreductase subunit AB1"
"ENSG00000004799"	7605.80315154597	-0.994561300873091	0.358178368348257	0.000615409975706136	0.00414037716275808	"PDK4"	"pyruvate dehydrogenase kinase 4"
"ENSG00000004809"	3.30591365818182	-0.534646366360719	0.466344854484677	0.0568843238725007	0.140492690705212	"SLC22A16"	"solute carrier family 22 member 16"
"ENSG00000004838"	31.1699660396489	0.0706936207371041	0.250384669519868	0.717164386710133	0.82044017707198	"ZMYND10"	"zinc finger MYND-type containing 10"
"ENSG00000004864"	5500.81784269718	0.0592634962428435	0.149257651444061	0.685552756278768	0.797908904766174	"SLC25A13"	"solute carrier family 25 member 13"
"ENSG00000004866"	1426.20541567025	-0.466624929590816	0.15300475071524	0.00103613590584174	0.00631907727655037	"ST7"	"suppression of tumorigenicity 7"
"ENSG00000004897"	1788.09394640696	-0.31565754593398	0.0898978971671517	0.000369129104925895	0.00274709281573742	"CDC27"	"cell division cycle 27"
"ENSG00000004948"	13.0255458639127	-0.405746761291273	0.503924699933089	0.0953748145465434	0.205308074031662	"CALCR"	"calcitonin receptor"
"ENSG00000004961"	950.047196873231	0.0841349349486313	0.107472738263717	0.413466250679132	0.575023112417615	"HCCS"	"holocytochrome c synthase"
"ENSG00000004975"	934.313620405739	-0.0256272767913726	0.128615564356348	0.83541241665522	0.901921620048408	"DVL2"	"dishevelled segment polarity protein 2"
"ENSG00000005001"	88.2456497202066	0.123041679061784	0.411291887823282	0.34679191759065	0.511331976195836	"PRSS22"	"serine protease 22"
"ENSG00000005007"	4856.23228684325	0.537978826603134	0.0998847167856168	9.1412916436396e-08	2.73141794311951e-06	"UPF1"	"UPF1 RNA helicase and ATPase"
"ENSG00000005020"	891.958856242507	-0.423078218431061	0.236368624592092	0.0230252320214174	0.0710737533884248	"SKAP2"	"src kinase associated phosphoprotein 2"
"ENSG00000005022"	12812.4808645132	0.457530982715394	0.153656081136716	0.00128915965686665	0.00750464664818041	"SLC25A5"	"solute carrier family 25 member 5"
"ENSG00000005059"	190.261776734711	-0.055873919018065	0.243387461283807	0.779329152937488	0.863216907085756	"MCUB"	"mitochondrial calcium uniporter dominant negative subunit beta"
"ENSG00000005073"	15.6964205884525	0.00785822791664081	0.380800972869775	0.967446918773588	0.980661760525039	"HOXA11"	"homeobox A11"
