"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"	"symbol"	"description"
"ENSG00000000003"	4564.42175820777	-0.175657689209327	0.107407616951805	0.0695439756396976	0.181872515112982	"TSPAN6"	"tetraspanin 6"
"ENSG00000000005"	19.3262906052766	0.063721590124799	0.227225927462036	0.398914587998084	0.591270979265753	"TNMD"	"tenomodulin"
"ENSG00000000419"	1261.2485862106	-0.00979325593065767	0.06439953616948	0.874213804512008	0.933329358712842	"DPM1"	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"ENSG00000000457"	571.246695881786	0.03737360455572	0.0739950747814034	0.605128576637362	0.760570180305333	"SCYL3"	"SCY1 like pseudokinase 3"
"ENSG00000000460"	267.877240941539	-0.344610098411371	0.149186177770036	0.00467946445239642	0.0252164680317075	"C1orf112"	"chromosome 1 open reading frame 112"
"ENSG00000000938"	313.578031864815	-0.0556019945850898	0.130173128137359	0.586048819395699	0.746761203804509	"FGR"	"FGR proto-oncogene, Src family tyrosine kinase"
"ENSG00000000971"	50662.9637446845	0.118375655166286	0.152418361917424	0.311245036295568	0.507235300679373	"CFH"	"complement factor H"
"ENSG00000001036"	2974.02250559904	-0.0381788669044559	0.0960676567498255	0.66387863948967	0.801654627640492	"FUCA2"	"alpha-L-fucosidase 2"
"ENSG00000001084"	3625.37623025943	-0.401055693283385	0.121795462713584	0.000161101344946484	0.00181199136494263	"GCLC"	"glutamate-cysteine ligase catalytic subunit"
"ENSG00000001167"	1093.25407221377	0.014777261768951	0.0855353386266261	0.855910231878873	0.923000071985738	"NFYA"	"nuclear transcription factor Y subunit alpha"
"ENSG00000001460"	320.552814359768	-0.566062815887308	0.119687874099696	1.22256173745854e-07	4.61478367228022e-06	"STPG1"	"sperm tail PG-rich repeat containing 1"
"ENSG00000001461"	995.159324898114	-0.114874007412767	0.0981245434804919	0.183022188502287	0.35680128535675	"NIPAL3"	"NIPA like domain containing 3"
"ENSG00000001497"	2306.40204171882	-0.00253270713536057	0.0752435152089963	0.970759255702029	0.988620397183676	"LAS1L"	"LAS1 like ribosome biogenesis factor"
"ENSG00000001561"	873.427836870476	-0.0243513523840351	0.137754171712499	0.822080752776056	0.902220105728739	"ENPP4"	"ectonucleotide pyrophosphatase/phosphodiesterase 4"
"ENSG00000001617"	1493.10122397089	0.00674107365582389	0.0996444871736411	0.938279233329043	0.970036376610949	"SEMA3F"	"semaphorin 3F"
"ENSG00000001626"	775.831793818199	0.031699527725768	0.221221207769405	0.582275962553034	0.744255002285961	"CFTR"	"CF transmembrane conductance regulator"
"ENSG00000001629"	1464.38271456824	0.232313706269299	0.0942247514013532	0.00639675249248833	0.0282177878947952	"ANKIB1"	"ankyrin repeat and IBR domain containing 1"
"ENSG00000001630"	178.15487215055	0.118670828550919	0.173878263494708	0.336185818449085	0.530918104390399	"CYP51A1"	"cytochrome P450 family 51 subfamily A member 1"
"ENSG00000001631"	211.788014515664	0.13546918361459	0.0701261952500396	0.0410100391891551	0.124994952714512	"KRIT1"	"KRIT1 ankyrin repeat containing"
"ENSG00000002016"	305.969339653022	0.107383321447153	0.0894367700061547	0.200974629923695	0.376905480096259	"RAD52"	"RAD52 homolog, DNA repair protein"
"ENSG00000002330"	549.128625419583	0.112799763387604	0.101373795966973	0.211919837113342	0.393765841122819	"BAD"	"BCL2 associated agonist of cell death"
"ENSG00000002549"	5554.44627277146	0.0304203299611293	0.113414707480672	0.747826258868449	0.861426855838101	"LAP3"	"leucine aminopeptidase 3"
"ENSG00000002586"	10089.594638009	-0.233247144744648	0.100667642335658	0.0103798435756831	0.0457034972944807	"CD99"	"CD99 molecule (Xg blood group)"
"ENSG00000002587"	205.051541640615	0.190814031209598	0.160375423395192	0.113333782157946	0.256176872006818	"HS3ST1"	"heparan sulfate-glucosamine 3-sulfotransferase 1"
"ENSG00000002745"	18.432822054248	-1.44079837024498	0.409460364342628	3.85640096670768e-06	8.62214634131008e-05	"WNT16"	"Wnt family member 16"
"ENSG00000002746"	47.1277107604752	-0.0578625033221732	0.198308775459014	0.584408850866311	0.740365771659634	"HECW1"	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"ENSG00000002822"	63.8914077101598	1.29943194605163	0.251524551183152	2.43935508072266e-08	1.17103157378383e-06	"MAD1L1"	"mitotic arrest deficient 1 like 1"
"ENSG00000002834"	10580.7826914009	0.176657360621229	0.0891685516534467	0.0364182390308837	0.114802101234187	"LASP1"	"LIM and SH3 protein 1"
"ENSG00000002919"	1049.4644324812	-0.0730788568006556	0.0719999497236194	0.280929204498653	0.474126358424926	"SNX11"	"sorting nexin 11"
"ENSG00000002933"	32538.5786468792	0.000354894036151332	0.135717037233923	0.998847516539316	1	"TMEM176A"	"transmembrane protein 176A"
"ENSG00000003056"	1840.19041995672	-0.0249453697932743	0.103716609534762	0.788066503058942	0.882717367685892	"M6PR"	"mannose-6-phosphate receptor, cation dependent"
"ENSG00000003096"	275.835350604576	-0.301207174004309	0.208352324166258	0.0311020813328911	0.10151531183619	"KLHL13"	"kelch like family member 13"
"ENSG00000003137"	279.21884378644	0.225119316119806	0.228149799288096	0.13432267498312	0.288191540102286	"CYP26B1"	"cytochrome P450 family 26 subfamily B member 1"
"ENSG00000003147"	674.216797475844	-0.0322272514711919	0.152586285828866	0.780254420214351	0.878567334324917	"ICA1"	"islet cell autoantigen 1"
"ENSG00000003249"	2417.78993536486	-0.23698872032437	0.195064628286911	0.0635287262579319	0.170784459500701	"DBNDD1"	"dysbindin domain containing 1"
"ENSG00000003393"	1416.81305370184	0.0945399096537154	0.0742767486439989	0.191318501402717	0.367627399876215	"ALS2"	"alsin Rho guanine nucleotide exchange factor ALS2"
"ENSG00000003400"	691.867044223785	0.149498914001825	0.0845752171403093	0.0571898018680358	0.158328874708583	"CASP10"	"caspase 10"
"ENSG00000003402"	3801.84805261575	0.301593742214221	0.0665681498738042	1.96047586056251e-06	4.84654011705484e-05	"CFLAR"	"CASP8 and FADD like apoptosis regulator"
"ENSG00000003436"	10686.5790838991	-1.1491268578801	0.227105637370132	8.1899991571766e-11	8.20926974342878e-09	"TFPI"	"tissue factor pathway inhibitor"
"ENSG00000003509"	546.536986854749	-0.0298511135882872	0.0634648194802855	0.618526652338689	0.792801700907258	"NDUFAF7"	"NADH:ubiquinone oxidoreductase complex assembly factor 7"
"ENSG00000003756"	1813.60972683547	-0.365095967471676	0.0680615600086597	2.1277805894224e-08	1.04660481940744e-06	"RBM5"	"RNA binding motif protein 5"
"ENSG00000003987"	154.575354532136	-0.549044654183602	0.306601095718454	0.00305089338238044	0.0182777781341205	"MTMR7"	"myotubularin related protein 7"
"ENSG00000003989"	7172.4129332594	-0.239115722398758	0.191766801611851	0.0796675792661732	0.200649257915311	"SLC7A2"	"solute carrier family 7 member 2"
"ENSG00000004059"	3565.55016322055	0.0319952031432419	0.0745628327567283	0.65059854538319	0.792801700907258	"ARF5"	"ADP ribosylation factor 5"
"ENSG00000004139"	207.473180764677	-0.0656707599509754	0.125443741384033	0.517556040277498	0.692629692407718	"SARM1"	"sterile alpha and TIR motif containing 1"
