"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"description"
"ENSG00000000003"	4969.93561447889	-0.108689764352742	0.360870426014277	-0.301187785192578	0.763271303638668	0.95967335897133	"TSPAN6"	"tetraspanin 6"
"ENSG00000000419"	1366.20210277218	-0.0329633306135099	0.138632420357728	-0.237775049504663	0.812055571348534	0.969641989286435	"DPM1"	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"ENSG00000000457"	992.516901770362	-0.553937980637074	0.201585888831521	-2.74790057899358	0.0059978193080165	0.193706969124142	"SCYL3"	"SCY1 like pseudokinase 3"
"ENSG00000000460"	316.03847048274	-0.258577095103853	0.253067170297896	-1.02177257840071	0.306888550752993	0.78138797989278	"C1orf112"	"chromosome 1 open reading frame 112"
"ENSG00000000938"	363.579045623672	0.391630506757451	0.329415556768916	1.18886463832726	0.234492937226235	0.730071193302082	"FGR"	"FGR proto-oncogene, Src family tyrosine kinase"
"ENSG00000000971"	9267.3531320017	-1.00447554652738	0.647249542428918	-1.55191387661382	0.120682832125828	0.602647311814994	"CFH"	"complement factor H"
"ENSG00000001036"	2441.36911406757	-0.17533890947412	0.272880808726926	-0.642547602713912	0.520517691666033	0.890197814174269	"FUCA2"	"alpha-L-fucosidase 2"
"ENSG00000001084"	2042.30653245024	-0.1606715382187	0.390200480037409	-0.411766633919302	0.680510479590198	0.936202876313761	"GCLC"	"glutamate-cysteine ligase catalytic subunit"
"ENSG00000001167"	1381.45628640372	0.198585541233093	0.234631900085482	0.846370596499214	0.397346036155061	0.835048899857346	"NFYA"	"nuclear transcription factor Y subunit alpha"
"ENSG00000001460"	381.381994810615	-0.246854478549589	0.265932748833042	-0.928259041554031	0.35327321470218	0.8086249185104	"STPG1"	"sperm tail PG-rich repeat containing 1"
"ENSG00000001461"	1140.55461374199	-0.169122681389882	0.192882167330692	-0.876818649076693	0.380585148029633	0.82413835826054	"NIPAL3"	"NIPA like domain containing 3"
"ENSG00000001497"	2181.86156247057	0.328713936812344	0.157343018902336	2.08915488660084	0.0366937829304498	0.406051316652722	"LAS1L"	"LAS1 like ribosome biogenesis factor"
"ENSG00000001561"	1263.30810668393	-0.591407167266611	0.264455801026673	-2.23631761893913	0.025330973135657	0.353901840230834	"ENPP4"	"ectonucleotide pyrophosphatase/phosphodiesterase 4"
"ENSG00000001617"	1085.50316487811	0.0701390430020681	0.309644082169142	0.226515044339697	0.820800859595287	0.969849237721354	"SEMA3F"	"semaphorin 3F"
"ENSG00000001626"	11490.9501987002	0.917406882668656	0.849976881329121	1.07933157103531	0.280439943715984	0.762756961049874	"CFTR"	"CF transmembrane conductance regulator"
"ENSG00000001629"	2357.3672503553	0.202752313822176	0.247741856515652	0.818401527597199	0.413127949756207	0.844478840397943	"ANKIB1"	"ankyrin repeat and IBR domain containing 1"
"ENSG00000001630"	120.553292061353	-0.142130824705294	0.478278893791662	-0.297171433969249	0.766335629661596	0.959917405557831	"CYP51A1"	"cytochrome P450 family 51 subfamily A member 1"
"ENSG00000001631"	287.271526126996	-0.0984911250935799	0.178199588297053	-0.552701193278844	0.580468036122592	0.912578780470802	"KRIT1"	"KRIT1 ankyrin repeat containing"
"ENSG00000002016"	585.89659675808	-0.139049570737175	0.268425438474169	-0.518019348417888	0.604444769835547	0.920957030315409	"RAD52"	"RAD52 homolog, DNA repair protein"
"ENSG00000002330"	613.520581126952	-0.0904881335588895	0.263539557142188	-0.343356931081387	0.731329956204799	0.952179905421398	"BAD"	"BCL2 associated agonist of cell death"
"ENSG00000002549"	4097.38590665183	-0.0912797251406316	0.24126671063637	-0.378335348875401	0.705181488935031	0.944364389577082	"LAP3"	"leucine aminopeptidase 3"
"ENSG00000002586"	6067.95470909086	-0.0112208784817739	0.203665818914847	-0.0550945590259571	0.956063130831079	0.99429626208774	"CD99"	"CD99 molecule (Xg blood group)"
"ENSG00000002587"	1717.70626739777	0.917363641683217	0.594148296338149	1.54399776509856	0.122588874040848	0.606057707102731	"HS3ST1"	"heparan sulfate-glucosamine 3-sulfotransferase 1"
"ENSG00000002726"	276.920920581527	0.309847645584857	0.852263146194998	0.363558657872511	0.716187603288617	0.948826566362395	"AOC1"	"amine oxidase copper containing 1"
"ENSG00000002746"	30.3280488215364	0.145648427782022	0.616443638209822	0.236272091646515	0.813221541564584	0.969641989286435	"HECW1"	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"ENSG00000002822"	19.9550017436206	-0.51468184273294	0.445107717788494	-1.15630851176907	0.247554987982633	0.739805098954334	"MAD1L1"	"mitotic arrest deficient 1 like 1"
"ENSG00000002834"	13631.8900696123	0.187417249253472	0.244376119222738	0.766921292676103	0.44312831306208	0.858891380740493	"LASP1"	"LIM and SH3 protein 1"
"ENSG00000002919"	1133.17888694021	0.0669138615750995	0.209778289417816	0.318974197762797	0.749746078783919	0.95644918524951	"SNX11"	"sorting nexin 11"
"ENSG00000002933"	5693.10628146761	0.150442327826967	0.574818710339236	0.261721348176336	0.79353628060597	0.96573027413274	"TMEM176A"	"transmembrane protein 176A"
"ENSG00000003056"	2740.84792242502	-0.0301896399614097	0.274540761833483	-0.109964144339778	0.912437811089167	0.987501139189877	"M6PR"	"mannose-6-phosphate receptor, cation dependent"
"ENSG00000003096"	141.049108612636	-1.2927727824341	0.532429826147427	-2.42806228905015	0.015179735945307	0.283860700262238	"KLHL13"	"kelch like family member 13"
"ENSG00000003137"	553.953167501217	2.10736842256945	0.730079669468978	2.88649103748121	0.00389563842293987	0.159113256721227	"CYP26B1"	"cytochrome P450 family 26 subfamily B member 1"
"ENSG00000003147"	1685.17720987268	-0.0373792089929429	0.287953196967847	-0.129810015608602	0.896716738657014	0.983207171655294	"ICA1"	"islet cell autoantigen 1"
"ENSG00000003249"	2847.31501863505	-0.420732334672217	0.359646514473201	-1.16984960993851	0.242061495200782	0.735078981514566	"DBNDD1"	"dysbindin domain containing 1"
"ENSG00000003393"	1709.09686118497	0.0686553988178093	0.202696081039941	0.33871103213032	0.734827428998521	0.952320526353403	"ALS2"	"alsin Rho guanine nucleotide exchange factor ALS2"
"ENSG00000003400"	962.799060791706	0.0205291547439842	0.232814802814643	0.0881780475115606	0.929735164890445	0.99046401987947	"CASP10"	"caspase 10"
"ENSG00000003402"	6797.5902761432	0.1547513750958	0.164076073759711	0.943168443452838	0.345594751642745	0.804029369819455	"CFLAR"	"CASP8 and FADD like apoptosis regulator"
"ENSG00000003436"	3049.05791954517	-0.90481594852569	0.599439168898293	-1.50943748001761	0.131187021065816	0.622313481972423	"TFPI"	"tissue factor pathway inhibitor"
"ENSG00000003509"	585.007806770242	0.0973941479987147	0.154296483394519	0.631214308038951	0.527900407835761	0.892469348231801	"NDUFAF7"	"NADH:ubiquinone oxidoreductase complex assembly factor 7"
"ENSG00000003756"	2217.93572224313	-0.45483820205841	0.194195491145889	-2.3421666454486	0.0191721523572956	0.316089130778805	"RBM5"	"RNA binding motif protein 5"
"ENSG00000003987"	59.7954526624502	0.213196156680322	0.291274345992656	0.731942787318791	0.464203488941028	0.867687526216855	"MTMR7"	"myotubularin related protein 7"
"ENSG00000003989"	1580.95445829899	-0.545797634250696	0.588757517211413	-0.92703297757591	0.353909412411448	0.80869814425924	"SLC7A2"	"solute carrier family 7 member 2"
"ENSG00000004059"	4713.71322849867	-0.0565537366821362	0.138163712600332	-0.409324095435463	0.68230183501376	0.936432788650901	"ARF5"	"ADP ribosylation factor 5"
"ENSG00000004139"	363.814745198582	-0.00308048984066927	0.381236696281612	-0.00808025531307661	0.993552959193541	0.999583491519877	"SARM1"	"sterile alpha and TIR motif containing 1"
"ENSG00000004142"	7370.45863773494	-0.0659502282532802	0.180122555561178	-0.366140864745173	0.714259965821735	0.948774619378544	"POLDIP2"	"DNA polymerase delta interacting protein 2"
"ENSG00000004399"	4508.40427859731	0.326162785282558	0.247768290315221	1.31640245354884	0.188038999364683	0.685328078578623	"PLXND1"	"plexin D1"
"ENSG00000004455"	4874.68621580488	0.223052039902495	0.253398883635419	0.880240815201909	0.378728867052573	0.823402519043797	"AK2"	"adenylate kinase 2"
"ENSG00000004468"	239.216462328999	-0.273318885168172	0.562657030617383	-0.485764631552313	0.627134053450057	0.925434439879234	"CD38"	"CD38 molecule"
"ENSG00000004478"	6025.86872590528	-0.00596620574528627	0.258021081020514	-0.023122939109041	0.981552207813629	0.998041975068155	"FKBP4"	"FKBP prolyl isomerase 4"
"ENSG00000004487"	2074.74206202061	0.0234326365636555	0.12396932082755	0.189019641369592	0.850077422689889	0.975202862925247	"KDM1A"	"lysine demethylase 1A"
"ENSG00000004534"	3336.60127435628	-0.298701126574139	0.208353799221823	-1.4336245736327	0.151679427043635	0.648172779367908	"RBM6"	"RNA binding motif protein 6"
"ENSG00000004660"	277.337209554763	0.0532206570608606	0.337377522075615	0.157748082128994	0.874655310737784	0.980033289820962	"CAMKK1"	"calcium/calmodulin dependent protein kinase kinase 1"
"ENSG00000004700"	781.342991079777	0.275760771360509	0.358933742457273	0.768277647770425	0.442322251236927	0.858125358265681	"RECQL"	"RecQ like helicase"
"ENSG00000004766"	979.416667620392	-0.160782851800858	0.209794463853466	-0.766382719770714	0.44344861172	0.858891380740493	"VPS50"	"VPS50 subunit of EARP/GARPII complex"
"ENSG00000004776"	134.703234854551	-1.62985599074112	0.493042770022889	-3.30570913891599	0.00094736374264726	0.0831080351166045	"HSPB6"	"heat shock protein family B (small) member 6"
"ENSG00000004777"	614.671553387363	-0.190749957660856	0.270644317672483	-0.704799418296637	0.480935070619226	0.872682780344215	"ARHGAP33"	"Rho GTPase activating protein 33"
"ENSG00000004779"	2152.66401046279	-0.0875317773504175	0.199200449308703	-0.43941556183324	0.660360452620564	0.932904165755519	"NDUFAB1"	"NADH:ubiquinone oxidoreductase subunit AB1"
"ENSG00000004799"	2516.77716992396	-0.116139987279292	0.568208229587277	-0.204396876412106	0.838043370925032	0.973115818242691	"PDK4"	"pyruvate dehydrogenase kinase 4"
"ENSG00000004838"	119.460467801302	-0.717864250165288	0.518275326963676	-1.38510211236739	0.166021246104657	0.664232702294421	"ZMYND10"	"zinc finger MYND-type containing 10"
"ENSG00000004864"	1698.29501276824	-0.430742600269568	0.255574731782783	-1.68538805563792	0.0919137266042082	0.551870016123676	"SLC25A13"	"solute carrier family 25 member 13"
"ENSG00000004866"	821.620544662401	0.0150415983262003	0.170215990292155	0.0883677162197466	0.929584419613588	0.99046401987947	"ST7"	"suppression of tumorigenicity 7"
"ENSG00000004897"	2113.66294462563	0.0447296519853612	0.152081642254348	0.294116050578632	0.768669226447054	0.959939509492325	"CDC27"	"cell division cycle 27"
"ENSG00000004961"	1021.19506431322	0.294810659181253	0.221199318226611	1.33278285640659	0.182603073248055	0.681590454092929	"HCCS"	"holocytochrome c synthase"
"ENSG00000004975"	1500.93415818759	-0.0496816164584703	0.190434279834817	-0.260885889355447	0.794180506795038	0.965854855007922	"DVL2"	"dishevelled segment polarity protein 2"
"ENSG00000005001"	2014.07680783	0.530639510091035	0.563435945212111	0.941792078762868	0.346299101463301	0.804321402596298	"PRSS22"	"serine protease 22"
"ENSG00000005007"	6155.76777634439	-0.149476762327229	0.124464976086969	-1.20095441325423	0.229768885191283	0.726151297518898	"UPF1"	"UPF1 RNA helicase and ATPase"
"ENSG00000005020"	1913.91272812331	0.136231330283444	0.30238952708091	0.450516033404134	0.652338395879768	0.93034261856875	"SKAP2"	"src kinase associated phosphoprotein 2"
"ENSG00000005022"	9907.82608557733	0.0760449293538856	0.259297248998923	0.293273182216451	0.769313350378851	0.96009444529484	"SLC25A5"	"solute carrier family 25 member 5"
"ENSG00000005059"	604.381603772364	0.391694221136736	0.440996354784037	0.888202854485169	0.374431643610791	0.820322363821945	"MCUB"	"mitochondrial calcium uniporter dominant negative subunit beta"
"ENSG00000005075"	1714.69886675617	0.111876004243721	0.20296327759361	0.551213035038428	0.581487645438576	0.91315593006994	"POLR2J"	"RNA polymerase II subunit J"
"ENSG00000005100"	1089.6322082939	-0.0862465453902979	0.209180392906948	-0.41230702453391	0.680114400584228	0.936202876313761	"DHX33"	"DEAH-box helicase 33"
"ENSG00000005102"	102.544270502717	-0.525427585508092	0.556914250373481	-0.943462274768022	0.345444502846998	0.804029369819455	"MEOX1"	"mesenchyme homeobox 1"
"ENSG00000005108"	306.179059266968	0.820121412916958	0.520053616243722	1.57699396235447	0.114796914325419	0.591418902237566	"THSD7A"	"thrombospondin type 1 domain containing 7A"
"ENSG00000005156"	1226.70756743788	0.0183083254859007	0.233552666608659	0.0783905649708473	0.937517378499016	0.991382920266513	"LIG3"	"DNA ligase 3"
"ENSG00000005175"	1065.51732505374	-0.108892959605564	0.129266284047841	-0.842392588350899	0.399568240274802	0.836246846407351	"RPAP3"	"RNA polymerase II associated protein 3"
"ENSG00000005187"	1951.5418075692	-1.090179101345	0.592623664298109	-1.83958077785534	0.0658298085833529	0.495259680770091	"ACSM3"	"acyl-CoA synthetase medium chain family member 3"
"ENSG00000005189"	178.223043642386	-0.299551412157141	0.284159905072159	-1.05416495012227	0.291807403980747	0.772877730049391	"REXO5"	"RNA exonuclease 5"
"ENSG00000005194"	2270.52593054519	0.0874005996068284	0.181540443428401	0.481438724926872	0.630204719526817	0.926156398238686	"CIAPIN1"	"cytokine induced apoptosis inhibitor 1"
"ENSG00000005206"	3290.18792587977	0.125172856500145	0.278359967619642	0.449679806944023	0.652941333665572	0.930775057746097	"SPPL2B"	"signal peptide peptidase like 2B"
"ENSG00000005238"	1202.84724592705	-0.0198135753966741	0.280838854307757	-0.0705514037418818	0.943754788172836	0.992313998828789	"ATOSB"	"atos homolog B"
"ENSG00000005243"	342.204724968937	-0.364506846546184	0.364469406117229	-1.00010272584839	0.317260797120412	0.787038786595829	"COPZ2"	"COPI coat complex subunit zeta 2"
"ENSG00000005249"	244.94857723612	-0.0323105492173046	0.527445779999698	-0.0612585225676147	0.951153322928246	0.993823744336165	"PRKAR2B"	"protein kinase cAMP-dependent type II regulatory subunit beta"
"ENSG00000005302"	1269.30440424131	-0.032437968610959	0.186935867520041	-0.173524583812047	0.862239105895914	0.978169295241553	"MSL3"	"MSL complex subunit 3"
"ENSG00000005339"	4480.2234678182	-0.0930152496983011	0.185687294521786	-0.500924147437498	0.61642450732272	0.92300874967496	"CREBBP"	"CREB binding protein"
"ENSG00000005379"	1388.58991011344	-0.10669287399554	0.438129144165839	-0.243519234947665	0.807603186184548	0.96943879755721	"TSPOAP1"	"TSPO associated protein 1"
"ENSG00000005421"	974.600919414865	-1.29010387073038	0.868090979983067	-1.48613901132291	0.137242355393905	0.630162076421502	"PON1"	"paraoxonase 1"
"ENSG00000005436"	700.30996352202	-0.0477114169197075	0.181852341901693	-0.262363500083488	0.79304120999217	0.965718780447161	"GCFC2"	"GC-rich sequence DNA-binding factor 2"
"ENSG00000005448"	793.293554701049	0.269091468204618	0.356364536216368	0.755101703052847	0.450187961402519	0.86159260679989	"WDR54"	"WD repeat domain 54"
"ENSG00000005469"	898.166467759626	-0.265899650336834	0.28680950586594	-0.927094970349832	0.353877227341782	0.80869814425924	"CROT"	"carnitine O-octanoyltransferase"
"ENSG00000005471"	528.31031928789	-2.69194198466625	0.859853204762525	-3.13069948423314	0.00174390514295806	0.113030223028632	"ABCB4"	"ATP binding cassette subfamily B member 4"
"ENSG00000005483"	2998.38341716399	0.00921352440152725	0.186894313311762	0.049298045715056	0.960681776919507	0.994822934860291	"KMT2E"	"lysine methyltransferase 2E (inactive)"
