"tcga_id"	"cohort"	"purity"	"log2_bap1"	"low_expresser"	"copynumber_absolute_bap1"	"bap1_segment_location"	"bap1_segment_width"	"altered_status"	"alteration_type"
"TCGA-DK-A2I6-01"	"TCGA-BLCA"	0.54	12.655563489758	FALSE	7	"chr3:50621081-52977765"	2356685	"unaltered"	"unaltered"
"TCGA-FD-A6TK-01"	"TCGA-BLCA"	0.22	11.833539126958	FALSE	3	"chr3:2170634-52742648"	50572015	"unaltered"	"unaltered"
"TCGA-UY-A78L-01"	"TCGA-BLCA"	0.49	12.0949643167319	FALSE	3	"chr3:38729973-53741420"	15011448	"unaltered"	"unaltered"
"TCGA-4Z-AA84-01"	"TCGA-BLCA"	0.43	11.3630059641401	TRUE	5	"chr3:39170971-62088871"	22917901	"unaltered"	"unaltered"
"TCGA-XF-A9SK-01"	"TCGA-BLCA"	0.47	12.182327720759	FALSE	2	"chr3:27101230-62674891"	35573662	"unaltered"	"unaltered"
"TCGA-YF-AA3M-01"	"TCGA-BLCA"	0.68	12.0049793426137	FALSE	4	"chr3:51018869-53959345"	2940477	"unaltered"	"unaltered"
"TCGA-G2-A3IE-01"	"TCGA-BLCA"	0.69	12.6358788766813	FALSE	3	"chr3:39583651-59720118"	20136468	"unaltered"	"unaltered"
"TCGA-ZF-A9RL-01"	"TCGA-BLCA"	0.85	12.0637999700816	FALSE	5	"chr3:20526745-59715704"	39188960	"unaltered"	"unaltered"
"TCGA-HQ-A2OE-01"	"TCGA-BLCA"	0.8	10.9776305426359	TRUE	2	"chr3:51288536-53384771"	2096236	"altered"	"mutation"
"TCGA-DK-AA74-01"	"TCGA-BLCA"	0.21	12.4384196421866	FALSE	2	"chr3:25704534-57074217"	31369684	"unaltered"	"unaltered"
"TCGA-H4-A2HO-01"	"TCGA-BLCA"	0.63	11.4980328496198	TRUE	2	"chr3:49108427-53628591"	4520165	"unaltered"	"unaltered"
"TCGA-ZF-AA53-01"	"TCGA-BLCA"	0.22	12.1201719609167	FALSE	4	"chr3:52340022-54855017"	2514996	"unaltered"	"unaltered"
"TCGA-HQ-A5ND-01"	"TCGA-BLCA"	0.63	11.2326217532543	TRUE	2	"chr3:42210883-53766195"	11555313	"unaltered"	"unaltered"
"TCGA-FD-A6TC-01"	"TCGA-BLCA"	0.57	12.0008252782826	FALSE	3	"chr3:42515694-80820470"	38304777	"unaltered"	"unaltered"
"TCGA-DK-A6AW-01"	"TCGA-BLCA"	0.93	NA	FALSE	2	"chr3:2170634-127226767"	125056134	"unaltered"	"unaltered"
"TCGA-GV-A3JV-01"	"TCGA-BLCA"	0.66	12.2400678626046	FALSE	4	"chr3:50330306-61158895"	10828590	"unaltered"	"unaltered"
"TCGA-XF-A8HH-01"	"TCGA-BLCA"	0.43	11.4699944535992	TRUE	5	"chr3:43781249-54160687"	10379439	"unaltered"	"unaltered"
"TCGA-DK-A2I1-01"	"TCGA-BLCA"	0.58	11.2957217184209	TRUE	3	"chr3:47529076-52561401"	5032326	"unaltered"	"unaltered"
"TCGA-ZF-AA5H-01"	"TCGA-BLCA"	0.58	11.6564100337743	FALSE	2	"chr3:42515707-53619843"	11104137	"unaltered"	"unaltered"
"TCGA-E7-A7PW-01"	"TCGA-BLCA"	0.84	12.1513602002338	FALSE	4	"chr3:34288035-84706703"	50418669	"unaltered"	"unaltered"
"TCGA-PQ-A6FI-01"	"TCGA-BLCA"	0.75	12.3054911914201	FALSE	2	"chr3:40511632-53553817"	13042186	"unaltered"	"unaltered"
"TCGA-C4-A0EZ-01"	"TCGA-BLCA"	0.93	11.9479669506328	FALSE	3	"chr3:36147481-58758496"	22611016	"unaltered"	"unaltered"
